subject_id,scenario_label,stimulus_index,action_condition,effort_condition,intimacy_condition,stage,response
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,dip,5,no_share,low,max_formal,prior,0.8
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,dip,5,no_share,low,max_formal,posterior,0.26
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,oysters,6,high_risk_share,low,max_intimate,prior,0.68
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,oysters,6,high_risk_share,low,max_intimate,posterior,0.61
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,birthday,7,no_share,high,max_intimate,prior,0.58
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,birthday,7,no_share,high,max_intimate,posterior,0.0
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,soup,8,low_risk_share,low,max_formal,prior,0.75
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,soup,8,low_risk_share,low,max_formal,posterior,0.89
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,drinks,9,high_risk_share,low,max_formal,prior,0.75
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,drinks,9,high_risk_share,low,max_formal,posterior,0.75
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,driving,10,low_risk_share,high,max_intimate,prior,0.34
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,driving,10,low_risk_share,high,max_intimate,posterior,0.87
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,apples,11,no_share,high,somewhat_formal,prior,0.53
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,apples,11,no_share,high,somewhat_formal,posterior,0.36
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,basketball,12,high_risk_share,high,max_intimate,prior,0.59
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,basketball,12,high_risk_share,high,max_intimate,posterior,0.65
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,cooking,13,high_risk_share,low,somewhat_intimate,prior,0.73
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,cooking,13,high_risk_share,low,somewhat_intimate,posterior,0.61
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,brunch,14,no_share,high,somewhat_intimate,prior,0.6
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,brunch,14,no_share,high,somewhat_intimate,posterior,0.0
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,gala,15,no_share,low,somewhat_intimate,prior,0.79
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,gala,15,no_share,low,somewhat_intimate,posterior,0.53
d34a58f8-6021-5a10-b5db-e57f92756aa0,driving,0,high_risk_share,low,max_intimate,prior,0.37
d34a58f8-6021-5a10-b5db-e57f92756aa0,driving,0,high_risk_share,low,max_intimate,posterior,0.39
d34a58f8-6021-5a10-b5db-e57f92756aa0,basketball,1,no_share,high,somewhat_formal,prior,0.58
d34a58f8-6021-5a10-b5db-e57f92756aa0,basketball,1,no_share,high,somewhat_formal,posterior,0.57
d34a58f8-6021-5a10-b5db-e57f92756aa0,gala,2,high_risk_share,high,max_intimate,prior,0.87
d34a58f8-6021-5a10-b5db-e57f92756aa0,gala,2,high_risk_share,high,max_intimate,posterior,0.83
d34a58f8-6021-5a10-b5db-e57f92756aa0,apples,3,no_share,high,max_intimate,prior,0.75
d34a58f8-6021-5a10-b5db-e57f92756aa0,apples,3,no_share,high,max_intimate,posterior,0.73
d34a58f8-6021-5a10-b5db-e57f92756aa0,cooking,4,high_risk_share,low,somewhat_intimate,prior,0.85
d34a58f8-6021-5a10-b5db-e57f92756aa0,cooking,4,high_risk_share,low,somewhat_intimate,posterior,0.89
d34a58f8-6021-5a10-b5db-e57f92756aa0,social,5,low_risk_share,high,max_intimate,prior,0.67
d34a58f8-6021-5a10-b5db-e57f92756aa0,social,5,low_risk_share,high,max_intimate,posterior,0.95
d34a58f8-6021-5a10-b5db-e57f92756aa0,oysters,6,low_risk_share,high,max_formal,prior,0.65
d34a58f8-6021-5a10-b5db-e57f92756aa0,oysters,6,low_risk_share,high,max_formal,posterior,0.7
d34a58f8-6021-5a10-b5db-e57f92756aa0,brunch,7,no_share,low,somewhat_intimate,prior,0.58
d34a58f8-6021-5a10-b5db-e57f92756aa0,brunch,7,no_share,low,somewhat_intimate,posterior,0.14
d34a58f8-6021-5a10-b5db-e57f92756aa0,drinks,8,low_risk_share,high,somewhat_formal,prior,0.49
d34a58f8-6021-5a10-b5db-e57f92756aa0,drinks,8,low_risk_share,high,somewhat_formal,posterior,0.53
d34a58f8-6021-5a10-b5db-e57f92756aa0,fair,9,no_share,low,somewhat_formal,prior,0.74
d34a58f8-6021-5a10-b5db-e57f92756aa0,fair,9,no_share,low,somewhat_formal,posterior,0.73
d34a58f8-6021-5a10-b5db-e57f92756aa0,hike,10,no_share,high,somewhat_intimate,prior,0.34
d34a58f8-6021-5a10-b5db-e57f92756aa0,hike,10,no_share,high,somewhat_intimate,posterior,0.38
d34a58f8-6021-5a10-b5db-e57f92756aa0,birthday,11,low_risk_share,low,somewhat_intimate,prior,0.9
d34a58f8-6021-5a10-b5db-e57f92756aa0,birthday,11,low_risk_share,low,somewhat_intimate,posterior,0.9
d34a58f8-6021-5a10-b5db-e57f92756aa0,wedding,12,high_risk_share,low,max_formal,prior,0.5
d34a58f8-6021-5a10-b5db-e57f92756aa0,wedding,12,high_risk_share,low,max_formal,posterior,0.92
d34a58f8-6021-5a10-b5db-e57f92756aa0,soup,13,low_risk_share,low,max_formal,prior,0.76
d34a58f8-6021-5a10-b5db-e57f92756aa0,soup,13,low_risk_share,low,max_formal,posterior,0.87
d34a58f8-6021-5a10-b5db-e57f92756aa0,takeout,14,no_share,low,max_formal,prior,0.23
d34a58f8-6021-5a10-b5db-e57f92756aa0,takeout,14,no_share,low,max_formal,posterior,0.1
d34a58f8-6021-5a10-b5db-e57f92756aa0,dip,15,high_risk_share,high,somewhat_formal,prior,0.63
d34a58f8-6021-5a10-b5db-e57f92756aa0,dip,15,high_risk_share,high,somewhat_formal,posterior,0.92
35a4064d-379c-59e2-8363-214f063c623f,takeout,0,high_risk_share,high,somewhat_intimate,prior,0.5
35a4064d-379c-59e2-8363-214f063c623f,takeout,0,high_risk_share,high,somewhat_intimate,posterior,0.81
35a4064d-379c-59e2-8363-214f063c623f,apples,1,high_risk_share,low,somewhat_formal,prior,0.69
35a4064d-379c-59e2-8363-214f063c623f,apples,1,high_risk_share,low,somewhat_formal,posterior,0.96
35a4064d-379c-59e2-8363-214f063c623f,fair,2,high_risk_share,low,max_formal,prior,0.42
35a4064d-379c-59e2-8363-214f063c623f,fair,2,high_risk_share,low,max_formal,posterior,0.84
35a4064d-379c-59e2-8363-214f063c623f,gala,3,high_risk_share,low,max_intimate,prior,0.28
35a4064d-379c-59e2-8363-214f063c623f,gala,3,high_risk_share,low,max_intimate,posterior,0.85
35a4064d-379c-59e2-8363-214f063c623f,cooking,4,low_risk_share,high,somewhat_intimate,prior,0.51
35a4064d-379c-59e2-8363-214f063c623f,cooking,4,low_risk_share,high,somewhat_intimate,posterior,0.44
35a4064d-379c-59e2-8363-214f063c623f,basketball,5,low_risk_share,high,max_formal,prior,0.3
35a4064d-379c-59e2-8363-214f063c623f,basketball,5,low_risk_share,high,max_formal,posterior,0.5
35a4064d-379c-59e2-8363-214f063c623f,dip,6,no_share,high,somewhat_intimate,prior,0.46
35a4064d-379c-59e2-8363-214f063c623f,dip,6,no_share,high,somewhat_intimate,posterior,0.16
35a4064d-379c-59e2-8363-214f063c623f,brunch,7,low_risk_share,low,somewhat_formal,prior,0.53
35a4064d-379c-59e2-8363-214f063c623f,brunch,7,low_risk_share,low,somewhat_formal,posterior,0.53
35a4064d-379c-59e2-8363-214f063c623f,wedding,8,no_share,high,somewhat_formal,prior,0.42
35a4064d-379c-59e2-8363-214f063c623f,wedding,8,no_share,high,somewhat_formal,posterior,0.11
35a4064d-379c-59e2-8363-214f063c623f,drinks,9,low_risk_share,low,max_intimate,prior,0.78
35a4064d-379c-59e2-8363-214f063c623f,drinks,9,low_risk_share,low,max_intimate,posterior,0.54
35a4064d-379c-59e2-8363-214f063c623f,soup,10,no_share,low,max_intimate,prior,0.17
35a4064d-379c-59e2-8363-214f063c623f,soup,10,no_share,low,max_intimate,posterior,0.07
35a4064d-379c-59e2-8363-214f063c623f,hike,11,no_share,high,max_formal,prior,0.28
35a4064d-379c-59e2-8363-214f063c623f,hike,11,no_share,high,max_formal,posterior,0.17
35a4064d-379c-59e2-8363-214f063c623f,driving,12,high_risk_share,high,max_formal,prior,0.28
35a4064d-379c-59e2-8363-214f063c623f,driving,12,high_risk_share,high,max_formal,posterior,0.84
35a4064d-379c-59e2-8363-214f063c623f,social,13,low_risk_share,low,somewhat_intimate,prior,0.6
35a4064d-379c-59e2-8363-214f063c623f,social,13,low_risk_share,low,somewhat_intimate,posterior,0.44
35a4064d-379c-59e2-8363-214f063c623f,oysters,14,no_share,low,somewhat_formal,prior,0.65
35a4064d-379c-59e2-8363-214f063c623f,oysters,14,no_share,low,somewhat_formal,posterior,0.51
35a4064d-379c-59e2-8363-214f063c623f,birthday,15,high_risk_share,high,max_intimate,prior,0.67
35a4064d-379c-59e2-8363-214f063c623f,birthday,15,high_risk_share,high,max_intimate,posterior,0.96
3322a983-5b83-539b-a1ec-6e42a2f21fd1,wedding,0,no_share,high,max_intimate,prior,0.84
3322a983-5b83-539b-a1ec-6e42a2f21fd1,wedding,0,no_share,high,max_intimate,posterior,0.68
3322a983-5b83-539b-a1ec-6e42a2f21fd1,brunch,1,low_risk_share,high,somewhat_intimate,prior,0.9
3322a983-5b83-539b-a1ec-6e42a2f21fd1,brunch,1,low_risk_share,high,somewhat_intimate,posterior,0.99
3322a983-5b83-539b-a1ec-6e42a2f21fd1,gala,2,no_share,low,somewhat_intimate,prior,0.7
3322a983-5b83-539b-a1ec-6e42a2f21fd1,gala,2,no_share,low,somewhat_intimate,posterior,0.17
3322a983-5b83-539b-a1ec-6e42a2f21fd1,oysters,3,low_risk_share,low,max_formal,prior,0.82
3322a983-5b83-539b-a1ec-6e42a2f21fd1,oysters,3,low_risk_share,low,max_formal,posterior,0.87
3322a983-5b83-539b-a1ec-6e42a2f21fd1,dip,4,high_risk_share,high,somewhat_formal,prior,0.62
3322a983-5b83-539b-a1ec-6e42a2f21fd1,dip,4,high_risk_share,high,somewhat_formal,posterior,1.0
3322a983-5b83-539b-a1ec-6e42a2f21fd1,driving,5,no_share,high,max_formal,prior,0.3
3322a983-5b83-539b-a1ec-6e42a2f21fd1,driving,5,no_share,high,max_formal,posterior,0.47
3322a983-5b83-539b-a1ec-6e42a2f21fd1,social,6,no_share,low,max_intimate,prior,0.78
3322a983-5b83-539b-a1ec-6e42a2f21fd1,social,6,no_share,low,max_intimate,posterior,0.03
3322a983-5b83-539b-a1ec-6e42a2f21fd1,fair,7,low_risk_share,high,somewhat_formal,prior,0.62
3322a983-5b83-539b-a1ec-6e42a2f21fd1,fair,7,low_risk_share,high,somewhat_formal,posterior,0.91
3322a983-5b83-539b-a1ec-6e42a2f21fd1,soup,8,high_risk_share,high,max_formal,prior,0.35
3322a983-5b83-539b-a1ec-6e42a2f21fd1,soup,8,high_risk_share,high,max_formal,posterior,1.0
3322a983-5b83-539b-a1ec-6e42a2f21fd1,takeout,9,high_risk_share,low,somewhat_intimate,prior,0.9
3322a983-5b83-539b-a1ec-6e42a2f21fd1,takeout,9,high_risk_share,low,somewhat_intimate,posterior,1.0
3322a983-5b83-539b-a1ec-6e42a2f21fd1,birthday,10,high_risk_share,high,somewhat_intimate,prior,0.35
3322a983-5b83-539b-a1ec-6e42a2f21fd1,birthday,10,high_risk_share,high,somewhat_intimate,posterior,0.57
3322a983-5b83-539b-a1ec-6e42a2f21fd1,hike,11,high_risk_share,low,somewhat_formal,prior,0.86
3322a983-5b83-539b-a1ec-6e42a2f21fd1,hike,11,high_risk_share,low,somewhat_formal,posterior,1.0
3322a983-5b83-539b-a1ec-6e42a2f21fd1,drinks,12,low_risk_share,high,max_intimate,prior,0.97
3322a983-5b83-539b-a1ec-6e42a2f21fd1,drinks,12,low_risk_share,high,max_intimate,posterior,0.86
3322a983-5b83-539b-a1ec-6e42a2f21fd1,cooking,13,low_risk_share,low,somewhat_formal,prior,0.9
3322a983-5b83-539b-a1ec-6e42a2f21fd1,cooking,13,low_risk_share,low,somewhat_formal,posterior,0.93
3322a983-5b83-539b-a1ec-6e42a2f21fd1,apples,14,no_share,low,max_formal,prior,0.82
3322a983-5b83-539b-a1ec-6e42a2f21fd1,apples,14,no_share,low,max_formal,posterior,0.56
3322a983-5b83-539b-a1ec-6e42a2f21fd1,basketball,15,low_risk_share,low,max_intimate,prior,1.0
3322a983-5b83-539b-a1ec-6e42a2f21fd1,basketball,15,low_risk_share,low,max_intimate,posterior,0.9
e3e401ba-d749-5e57-bdad-be24639faabe,fair,0,high_risk_share,low,max_formal,prior,0.28
e3e401ba-d749-5e57-bdad-be24639faabe,fair,0,high_risk_share,low,max_formal,posterior,0.73
e3e401ba-d749-5e57-bdad-be24639faabe,brunch,1,low_risk_share,low,somewhat_intimate,prior,1.0
e3e401ba-d749-5e57-bdad-be24639faabe,brunch,1,low_risk_share,low,somewhat_intimate,posterior,1.0
e3e401ba-d749-5e57-bdad-be24639faabe,hike,2,low_risk_share,high,max_formal,prior,1.0
e3e401ba-d749-5e57-bdad-be24639faabe,hike,2,low_risk_share,high,max_formal,posterior,1.0
e3e401ba-d749-5e57-bdad-be24639faabe,gala,3,high_risk_share,high,max_intimate,prior,0.81
e3e401ba-d749-5e57-bdad-be24639faabe,gala,3,high_risk_share,high,max_intimate,posterior,1.0
e3e401ba-d749-5e57-bdad-be24639faabe,driving,4,no_share,low,somewhat_formal,prior,1.0
e3e401ba-d749-5e57-bdad-be24639faabe,driving,4,no_share,low,somewhat_formal,posterior,0.24
e3e401ba-d749-5e57-bdad-be24639faabe,basketball,5,no_share,high,max_formal,prior,0.5
e3e401ba-d749-5e57-bdad-be24639faabe,basketball,5,no_share,high,max_formal,posterior,0.23
e3e401ba-d749-5e57-bdad-be24639faabe,apples,6,low_risk_share,low,max_intimate,prior,1.0
e3e401ba-d749-5e57-bdad-be24639faabe,apples,6,low_risk_share,low,max_intimate,posterior,1.0
e3e401ba-d749-5e57-bdad-be24639faabe,cooking,7,no_share,low,max_intimate,prior,0.79
e3e401ba-d749-5e57-bdad-be24639faabe,cooking,7,no_share,low,max_intimate,posterior,0.26
e3e401ba-d749-5e57-bdad-be24639faabe,birthday,8,high_risk_share,low,somewhat_formal,prior,0.28
e3e401ba-d749-5e57-bdad-be24639faabe,birthday,8,high_risk_share,low,somewhat_formal,posterior,0.77
e3e401ba-d749-5e57-bdad-be24639faabe,oysters,9,low_risk_share,high,somewhat_intimate,prior,1.0
e3e401ba-d749-5e57-bdad-be24639faabe,oysters,9,low_risk_share,high,somewhat_intimate,posterior,0.5
e3e401ba-d749-5e57-bdad-be24639faabe,social,10,no_share,high,somewhat_intimate,prior,0.5
e3e401ba-d749-5e57-bdad-be24639faabe,social,10,no_share,high,somewhat_intimate,posterior,0.5
e3e401ba-d749-5e57-bdad-be24639faabe,drinks,11,high_risk_share,high,somewhat_intimate,prior,0.24
e3e401ba-d749-5e57-bdad-be24639faabe,drinks,11,high_risk_share,high,somewhat_intimate,posterior,0.5
e3e401ba-d749-5e57-bdad-be24639faabe,dip,12,high_risk_share,low,max_intimate,prior,0.72
e3e401ba-d749-5e57-bdad-be24639faabe,dip,12,high_risk_share,low,max_intimate,posterior,1.0
e3e401ba-d749-5e57-bdad-be24639faabe,takeout,13,high_risk_share,high,max_formal,prior,0.37
e3e401ba-d749-5e57-bdad-be24639faabe,takeout,13,high_risk_share,high,max_formal,posterior,0.73
e3e401ba-d749-5e57-bdad-be24639faabe,soup,14,no_share,high,somewhat_formal,prior,0.29
e3e401ba-d749-5e57-bdad-be24639faabe,soup,14,no_share,high,somewhat_formal,posterior,1.0
e3e401ba-d749-5e57-bdad-be24639faabe,wedding,15,low_risk_share,low,somewhat_formal,prior,0.11
e3e401ba-d749-5e57-bdad-be24639faabe,wedding,15,low_risk_share,low,somewhat_formal,posterior,1.0
c7d4573d-1b41-583c-96c5-4231cad82031,dip,0,low_risk_share,low,somewhat_intimate,prior,0.75
c7d4573d-1b41-583c-96c5-4231cad82031,dip,0,low_risk_share,low,somewhat_intimate,posterior,0.74
c7d4573d-1b41-583c-96c5-4231cad82031,gala,1,low_risk_share,high,somewhat_formal,prior,0.21
c7d4573d-1b41-583c-96c5-4231cad82031,gala,1,low_risk_share,high,somewhat_formal,posterior,0.6
c7d4573d-1b41-583c-96c5-4231cad82031,takeout,2,no_share,low,somewhat_intimate,prior,1.0
c7d4573d-1b41-583c-96c5-4231cad82031,takeout,2,no_share,low,somewhat_intimate,posterior,0.0
c7d4573d-1b41-583c-96c5-4231cad82031,soup,3,high_risk_share,low,max_formal,prior,0.23
c7d4573d-1b41-583c-96c5-4231cad82031,soup,3,high_risk_share,low,max_formal,posterior,1.0
c7d4573d-1b41-583c-96c5-4231cad82031,driving,4,high_risk_share,low,max_intimate,prior,0.8
c7d4573d-1b41-583c-96c5-4231cad82031,driving,4,high_risk_share,low,max_intimate,posterior,1.0
c7d4573d-1b41-583c-96c5-4231cad82031,fair,5,no_share,low,max_formal,prior,1.0
c7d4573d-1b41-583c-96c5-4231cad82031,fair,5,no_share,low,max_formal,posterior,0.22
c7d4573d-1b41-583c-96c5-4231cad82031,cooking,6,low_risk_share,high,max_formal,prior,1.0
c7d4573d-1b41-583c-96c5-4231cad82031,cooking,6,low_risk_share,high,max_formal,posterior,1.0
c7d4573d-1b41-583c-96c5-4231cad82031,brunch,7,high_risk_share,high,somewhat_formal,prior,0.61
c7d4573d-1b41-583c-96c5-4231cad82031,brunch,7,high_risk_share,high,somewhat_formal,posterior,1.0
c7d4573d-1b41-583c-96c5-4231cad82031,drinks,8,no_share,high,somewhat_intimate,prior,0.75
c7d4573d-1b41-583c-96c5-4231cad82031,drinks,8,no_share,high,somewhat_intimate,posterior,0.0
c7d4573d-1b41-583c-96c5-4231cad82031,basketball,9,low_risk_share,high,max_intimate,prior,1.0
c7d4573d-1b41-583c-96c5-4231cad82031,basketball,9,low_risk_share,high,max_intimate,posterior,1.0
c7d4573d-1b41-583c-96c5-4231cad82031,social,10,no_share,high,max_intimate,prior,0.77
c7d4573d-1b41-583c-96c5-4231cad82031,social,10,no_share,high,max_intimate,posterior,0.0
c7d4573d-1b41-583c-96c5-4231cad82031,apples,11,high_risk_share,low,somewhat_intimate,prior,0.6
c7d4573d-1b41-583c-96c5-4231cad82031,apples,11,high_risk_share,low,somewhat_intimate,posterior,0.75
c7d4573d-1b41-583c-96c5-4231cad82031,hike,12,no_share,low,somewhat_formal,prior,0.75
c7d4573d-1b41-583c-96c5-4231cad82031,hike,12,no_share,low,somewhat_formal,posterior,0.32
c7d4573d-1b41-583c-96c5-4231cad82031,oysters,13,high_risk_share,high,max_intimate,prior,0.86
c7d4573d-1b41-583c-96c5-4231cad82031,oysters,13,high_risk_share,high,max_intimate,posterior,0.75
c7d4573d-1b41-583c-96c5-4231cad82031,birthday,14,low_risk_share,low,max_formal,prior,1.0
c7d4573d-1b41-583c-96c5-4231cad82031,birthday,14,low_risk_share,low,max_formal,posterior,1.0
c7d4573d-1b41-583c-96c5-4231cad82031,wedding,15,no_share,high,somewhat_formal,prior,1.0
c7d4573d-1b41-583c-96c5-4231cad82031,wedding,15,no_share,high,somewhat_formal,posterior,1.0
21f73050-c4ba-5011-afc8-3d26836dd7c3,fair,0,high_risk_share,high,max_intimate,prior,0.8
21f73050-c4ba-5011-afc8-3d26836dd7c3,fair,0,high_risk_share,high,max_intimate,posterior,0.68
21f73050-c4ba-5011-afc8-3d26836dd7c3,wedding,1,low_risk_share,high,somewhat_formal,prior,0.25
21f73050-c4ba-5011-afc8-3d26836dd7c3,wedding,1,low_risk_share,high,somewhat_formal,posterior,0.64
21f73050-c4ba-5011-afc8-3d26836dd7c3,dip,2,low_risk_share,low,max_formal,prior,0.67
21f73050-c4ba-5011-afc8-3d26836dd7c3,dip,2,low_risk_share,low,max_formal,posterior,0.36
21f73050-c4ba-5011-afc8-3d26836dd7c3,soup,3,low_risk_share,high,max_formal,prior,0.68
21f73050-c4ba-5011-afc8-3d26836dd7c3,soup,3,low_risk_share,high,max_formal,posterior,0.67
21f73050-c4ba-5011-afc8-3d26836dd7c3,basketball,4,high_risk_share,high,somewhat_formal,prior,0.27
21f73050-c4ba-5011-afc8-3d26836dd7c3,basketball,4,high_risk_share,high,somewhat_formal,posterior,0.69
21f73050-c4ba-5011-afc8-3d26836dd7c3,hike,5,high_risk_share,low,max_formal,prior,0.71
21f73050-c4ba-5011-afc8-3d26836dd7c3,hike,5,high_risk_share,low,max_formal,posterior,0.63
21f73050-c4ba-5011-afc8-3d26836dd7c3,oysters,6,high_risk_share,low,max_intimate,prior,0.62
21f73050-c4ba-5011-afc8-3d26836dd7c3,oysters,6,high_risk_share,low,max_intimate,posterior,0.41
21f73050-c4ba-5011-afc8-3d26836dd7c3,social,7,no_share,high,somewhat_formal,prior,0.32
21f73050-c4ba-5011-afc8-3d26836dd7c3,social,7,no_share,high,somewhat_formal,posterior,0.61
21f73050-c4ba-5011-afc8-3d26836dd7c3,driving,8,low_risk_share,low,somewhat_intimate,prior,0.33
21f73050-c4ba-5011-afc8-3d26836dd7c3,driving,8,low_risk_share,low,somewhat_intimate,posterior,0.59
21f73050-c4ba-5011-afc8-3d26836dd7c3,takeout,9,no_share,high,somewhat_intimate,prior,0.38
21f73050-c4ba-5011-afc8-3d26836dd7c3,takeout,9,no_share,high,somewhat_intimate,posterior,0.75
21f73050-c4ba-5011-afc8-3d26836dd7c3,drinks,10,low_risk_share,high,max_intimate,prior,0.72
21f73050-c4ba-5011-afc8-3d26836dd7c3,drinks,10,low_risk_share,high,max_intimate,posterior,0.87
21f73050-c4ba-5011-afc8-3d26836dd7c3,apples,11,high_risk_share,low,somewhat_intimate,prior,0.73
21f73050-c4ba-5011-afc8-3d26836dd7c3,apples,11,high_risk_share,low,somewhat_intimate,posterior,0.29
21f73050-c4ba-5011-afc8-3d26836dd7c3,gala,12,no_share,low,somewhat_intimate,prior,0.66
21f73050-c4ba-5011-afc8-3d26836dd7c3,gala,12,no_share,low,somewhat_intimate,posterior,0.0
21f73050-c4ba-5011-afc8-3d26836dd7c3,birthday,13,no_share,high,max_intimate,prior,0.72
21f73050-c4ba-5011-afc8-3d26836dd7c3,birthday,13,no_share,high,max_intimate,posterior,0.14
21f73050-c4ba-5011-afc8-3d26836dd7c3,brunch,14,no_share,low,somewhat_formal,prior,0.94
21f73050-c4ba-5011-afc8-3d26836dd7c3,brunch,14,no_share,low,somewhat_formal,posterior,0.1
21f73050-c4ba-5011-afc8-3d26836dd7c3,cooking,15,no_share,low,max_formal,prior,0.82
21f73050-c4ba-5011-afc8-3d26836dd7c3,cooking,15,no_share,low,max_formal,posterior,0.0
05bf3811-624b-5796-a414-1bad1d8f5c4a,wedding,0,high_risk_share,high,somewhat_formal,prior,0.87
