subject_id,scenario_label,stimulus_index,action_condition,desire,effort,stage,intimacy_rating
01b45b17-a375-5721-9cea-bad3ef4bc64a,drinks,7,high_risk_share,high,low,posterior,0.91
01b45b17-a375-5721-9cea-bad3ef4bc64a,drinks,7,high_risk_share,high,low,prior,0.6
01b45b17-a375-5721-9cea-bad3ef4bc64a,driving,8,no_share,low,low,posterior,0.51
01b45b17-a375-5721-9cea-bad3ef4bc64a,driving,8,no_share,low,low,prior,0.65
01b45b17-a375-5721-9cea-bad3ef4bc64a,fair,5,no_share,high,high,posterior,0.45
01b45b17-a375-5721-9cea-bad3ef4bc64a,fair,5,no_share,high,high,prior,0.56
01b45b17-a375-5721-9cea-bad3ef4bc64a,gala,15,low_risk_share,high,low,posterior,0.83
01b45b17-a375-5721-9cea-bad3ef4bc64a,gala,15,low_risk_share,high,low,prior,0.71
01b45b17-a375-5721-9cea-bad3ef4bc64a,hike,0,low_risk_share,low,high,posterior,0.71
01b45b17-a375-5721-9cea-bad3ef4bc64a,hike,0,low_risk_share,low,high,prior,0.89
01b45b17-a375-5721-9cea-bad3ef4bc64a,oysters,14,no_share,high,low,posterior,0.51
01b45b17-a375-5721-9cea-bad3ef4bc64a,oysters,14,no_share,high,low,prior,0.62
01b45b17-a375-5721-9cea-bad3ef4bc64a,social,12,no_share,high,high,posterior,0.51
01b45b17-a375-5721-9cea-bad3ef4bc64a,social,12,no_share,high,high,prior,0.49
01b45b17-a375-5721-9cea-bad3ef4bc64a,soup,10,low_risk_share,low,low,posterior,0.69
01b45b17-a375-5721-9cea-bad3ef4bc64a,soup,10,low_risk_share,low,low,prior,0.32
01b45b17-a375-5721-9cea-bad3ef4bc64a,takeout,11,no_share,low,high,posterior,0.53
01b45b17-a375-5721-9cea-bad3ef4bc64a,takeout,11,no_share,low,high,prior,0.43
01b45b17-a375-5721-9cea-bad3ef4bc64a,wedding,13,low_risk_share,high,high,posterior,0.74
01b45b17-a375-5721-9cea-bad3ef4bc64a,wedding,13,low_risk_share,high,high,prior,0.53
01be7932-b4e1-5075-8a99-20ab091c94f5,apples,11,low_risk_share,high,high,posterior,0.5
01be7932-b4e1-5075-8a99-20ab091c94f5,apples,11,low_risk_share,high,high,prior,0.52
01be7932-b4e1-5075-8a99-20ab091c94f5,basketball,7,high_risk_share,low,low,posterior,1.0
01be7932-b4e1-5075-8a99-20ab091c94f5,basketball,7,high_risk_share,low,low,prior,0.62
01be7932-b4e1-5075-8a99-20ab091c94f5,birthday,14,high_risk_share,high,low,posterior,0.96
01be7932-b4e1-5075-8a99-20ab091c94f5,birthday,14,high_risk_share,high,low,prior,0.54
01be7932-b4e1-5075-8a99-20ab091c94f5,brunch,5,high_risk_share,low,low,posterior,0.76
01be7932-b4e1-5075-8a99-20ab091c94f5,brunch,5,high_risk_share,low,low,prior,0.5
01be7932-b4e1-5075-8a99-20ab091c94f5,cooking,13,low_risk_share,high,low,posterior,0.58
01be7932-b4e1-5075-8a99-20ab091c94f5,cooking,13,low_risk_share,high,low,prior,0.61
01be7932-b4e1-5075-8a99-20ab091c94f5,dip,1,low_risk_share,high,high,posterior,0.73
01be7932-b4e1-5075-8a99-20ab091c94f5,dip,1,low_risk_share,high,high,prior,0.82
01be7932-b4e1-5075-8a99-20ab091c94f5,drinks,8,no_share,high,high,posterior,0.45
01be7932-b4e1-5075-8a99-20ab091c94f5,drinks,8,no_share,high,high,prior,0.43
01be7932-b4e1-5075-8a99-20ab091c94f5,driving,3,no_share,low,low,posterior,0.37
01be7932-b4e1-5075-8a99-20ab091c94f5,driving,3,no_share,low,low,prior,0.56
01be7932-b4e1-5075-8a99-20ab091c94f5,fair,9,low_risk_share,low,low,posterior,0.4
01be7932-b4e1-5075-8a99-20ab091c94f5,fair,9,low_risk_share,low,low,prior,0.54
01be7932-b4e1-5075-8a99-20ab091c94f5,gala,4,low_risk_share,low,high,posterior,0.55
01be7932-b4e1-5075-8a99-20ab091c94f5,gala,4,low_risk_share,low,high,prior,0.35
01be7932-b4e1-5075-8a99-20ab091c94f5,hike,6,high_risk_share,low,high,posterior,0.94
01be7932-b4e1-5075-8a99-20ab091c94f5,hike,6,high_risk_share,low,high,prior,0.56
01be7932-b4e1-5075-8a99-20ab091c94f5,oysters,2,high_risk_share,high,high,posterior,0.87
01be7932-b4e1-5075-8a99-20ab091c94f5,oysters,2,high_risk_share,high,high,prior,0.54
01be7932-b4e1-5075-8a99-20ab091c94f5,social,10,no_share,low,high,posterior,0.5
01be7932-b4e1-5075-8a99-20ab091c94f5,social,10,no_share,low,high,prior,0.47
01be7932-b4e1-5075-8a99-20ab091c94f5,soup,15,no_share,high,high,posterior,0.46
01be7932-b4e1-5075-8a99-20ab091c94f5,soup,15,no_share,high,high,prior,0.6
01be7932-b4e1-5075-8a99-20ab091c94f5,takeout,0,no_share,high,low,posterior,0.26
01be7932-b4e1-5075-8a99-20ab091c94f5,takeout,0,no_share,high,low,prior,0.32
01be7932-b4e1-5075-8a99-20ab091c94f5,wedding,12,no_share,low,low,posterior,0.55
01be7932-b4e1-5075-8a99-20ab091c94f5,wedding,12,no_share,low,low,prior,0.61
033897d2-4a89-5fda-89ff-f43f9877ba18,apples,15,high_risk_share,high,high,posterior,0.96
033897d2-4a89-5fda-89ff-f43f9877ba18,apples,15,high_risk_share,high,high,prior,0.36
033897d2-4a89-5fda-89ff-f43f9877ba18,basketball,9,high_risk_share,low,low,posterior,0.77
033897d2-4a89-5fda-89ff-f43f9877ba18,basketball,9,high_risk_share,low,low,prior,0.43
033897d2-4a89-5fda-89ff-f43f9877ba18,birthday,10,high_risk_share,high,low,posterior,0.81
033897d2-4a89-5fda-89ff-f43f9877ba18,birthday,10,high_risk_share,high,low,prior,0.59
033897d2-4a89-5fda-89ff-f43f9877ba18,brunch,6,no_share,high,low,posterior,0.36
033897d2-4a89-5fda-89ff-f43f9877ba18,brunch,6,no_share,high,low,prior,0.32
033897d2-4a89-5fda-89ff-f43f9877ba18,cooking,8,high_risk_share,high,low,posterior,0.5
033897d2-4a89-5fda-89ff-f43f9877ba18,cooking,8,high_risk_share,high,low,prior,0.71
033897d2-4a89-5fda-89ff-f43f9877ba18,dip,14,no_share,high,low,posterior,0.14
033897d2-4a89-5fda-89ff-f43f9877ba18,dip,14,no_share,high,low,prior,0.37
033897d2-4a89-5fda-89ff-f43f9877ba18,drinks,12,low_risk_share,high,low,posterior,0.28
033897d2-4a89-5fda-89ff-f43f9877ba18,drinks,12,low_risk_share,high,low,prior,0.4
033897d2-4a89-5fda-89ff-f43f9877ba18,driving,3,low_risk_share,low,high,posterior,0.1
033897d2-4a89-5fda-89ff-f43f9877ba18,driving,3,low_risk_share,low,high,prior,0.27
033897d2-4a89-5fda-89ff-f43f9877ba18,fair,7,no_share,low,high,posterior,0.09
033897d2-4a89-5fda-89ff-f43f9877ba18,fair,7,no_share,low,high,prior,0.63
033897d2-4a89-5fda-89ff-f43f9877ba18,gala,11,low_risk_share,low,low,posterior,0.83
033897d2-4a89-5fda-89ff-f43f9877ba18,gala,11,low_risk_share,low,low,prior,0.38
033897d2-4a89-5fda-89ff-f43f9877ba18,hike,5,no_share,low,low,posterior,0.02
033897d2-4a89-5fda-89ff-f43f9877ba18,hike,5,no_share,low,low,prior,0.4
033897d2-4a89-5fda-89ff-f43f9877ba18,oysters,13,low_risk_share,high,high,posterior,0.07
033897d2-4a89-5fda-89ff-f43f9877ba18,oysters,13,low_risk_share,high,high,prior,0.79
033897d2-4a89-5fda-89ff-f43f9877ba18,social,1,high_risk_share,low,high,posterior,0.91
033897d2-4a89-5fda-89ff-f43f9877ba18,social,1,high_risk_share,low,high,prior,0.42
033897d2-4a89-5fda-89ff-f43f9877ba18,soup,4,low_risk_share,low,high,posterior,0.7
033897d2-4a89-5fda-89ff-f43f9877ba18,soup,4,low_risk_share,low,high,prior,0.37
033897d2-4a89-5fda-89ff-f43f9877ba18,takeout,0,no_share,high,high,posterior,0.22
033897d2-4a89-5fda-89ff-f43f9877ba18,takeout,0,no_share,high,high,prior,0.5
033897d2-4a89-5fda-89ff-f43f9877ba18,wedding,2,high_risk_share,low,high,posterior,0.88
033897d2-4a89-5fda-89ff-f43f9877ba18,wedding,2,high_risk_share,low,high,prior,0.77
03857065-ec89-5848-adbc-f69a679bb34d,apples,6,no_share,high,low,posterior,0.51
03857065-ec89-5848-adbc-f69a679bb34d,apples,6,no_share,high,low,prior,0.66
03857065-ec89-5848-adbc-f69a679bb34d,basketball,8,high_risk_share,high,high,posterior,0.95
03857065-ec89-5848-adbc-f69a679bb34d,basketball,8,high_risk_share,high,high,prior,0.71
03857065-ec89-5848-adbc-f69a679bb34d,birthday,9,high_risk_share,low,low,posterior,0.79
03857065-ec89-5848-adbc-f69a679bb34d,birthday,9,high_risk_share,low,low,prior,0.5
03857065-ec89-5848-adbc-f69a679bb34d,brunch,13,low_risk_share,high,high,posterior,0.6
03857065-ec89-5848-adbc-f69a679bb34d,brunch,13,low_risk_share,high,high,prior,0.77
03857065-ec89-5848-adbc-f69a679bb34d,cooking,15,no_share,high,high,posterior,0.57
03857065-ec89-5848-adbc-f69a679bb34d,cooking,15,no_share,high,high,prior,0.74
03857065-ec89-5848-adbc-f69a679bb34d,dip,2,high_risk_share,high,low,posterior,0.88
03857065-ec89-5848-adbc-f69a679bb34d,dip,2,high_risk_share,high,low,prior,0.66
03857065-ec89-5848-adbc-f69a679bb34d,drinks,11,no_share,low,high,posterior,0.5
03857065-ec89-5848-adbc-f69a679bb34d,drinks,11,no_share,low,high,prior,0.52
03857065-ec89-5848-adbc-f69a679bb34d,driving,1,low_risk_share,low,low,posterior,0.2
03857065-ec89-5848-adbc-f69a679bb34d,driving,1,low_risk_share,low,low,prior,0.09
03857065-ec89-5848-adbc-f69a679bb34d,fair,14,low_risk_share,high,low,posterior,0.64
03857065-ec89-5848-adbc-f69a679bb34d,fair,14,low_risk_share,high,low,prior,0.66
03857065-ec89-5848-adbc-f69a679bb34d,gala,7,low_risk_share,high,high,posterior,0.18
03857065-ec89-5848-adbc-f69a679bb34d,gala,7,low_risk_share,high,high,prior,0.31
03857065-ec89-5848-adbc-f69a679bb34d,hike,0,high_risk_share,low,high,posterior,0.74
03857065-ec89-5848-adbc-f69a679bb34d,hike,0,high_risk_share,low,high,prior,0.58
03857065-ec89-5848-adbc-f69a679bb34d,oysters,4,high_risk_share,low,low,posterior,0.85
03857065-ec89-5848-adbc-f69a679bb34d,oysters,4,high_risk_share,low,low,prior,0.51
03857065-ec89-5848-adbc-f69a679bb34d,social,3,no_share,low,low,posterior,0.5
03857065-ec89-5848-adbc-f69a679bb34d,social,3,no_share,low,low,prior,0.49
03857065-ec89-5848-adbc-f69a679bb34d,soup,5,no_share,low,low,posterior,0.5
03857065-ec89-5848-adbc-f69a679bb34d,soup,5,no_share,low,low,prior,0.68
03857065-ec89-5848-adbc-f69a679bb34d,takeout,10,low_risk_share,low,high,posterior,0.14
03857065-ec89-5848-adbc-f69a679bb34d,takeout,10,low_risk_share,low,high,prior,0.29
03857065-ec89-5848-adbc-f69a679bb34d,wedding,12,no_share,high,high,posterior,0.5
03857065-ec89-5848-adbc-f69a679bb34d,wedding,12,no_share,high,high,prior,0.61
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,apples,15,high_risk_share,low,high,posterior,0.89
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,apples,15,high_risk_share,low,high,prior,0.5
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,basketball,11,no_share,high,low,posterior,0.49
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,basketball,11,no_share,high,low,prior,0.5
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,birthday,5,high_risk_share,high,high,posterior,0.87
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,birthday,5,high_risk_share,high,high,prior,0.21
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,brunch,13,high_risk_share,low,low,posterior,0.69
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,brunch,13,high_risk_share,low,low,prior,0.5
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,cooking,10,no_share,low,low,posterior,0.49
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,cooking,10,no_share,low,low,prior,0.5
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,dip,12,low_risk_share,low,high,posterior,0.21
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,dip,12,low_risk_share,low,high,prior,0.5
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,drinks,1,high_risk_share,low,low,posterior,0.75
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,drinks,1,high_risk_share,low,low,prior,0.58
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,driving,9,low_risk_share,high,high,posterior,0.3
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,driving,9,low_risk_share,high,high,prior,0.5
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,fair,2,no_share,high,high,posterior,0.05
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,fair,2,no_share,high,high,prior,0.6
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,gala,14,low_risk_share,low,low,posterior,0.24
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,gala,14,low_risk_share,low,low,prior,0.5
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,hike,0,no_share,high,high,posterior,0.15
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,hike,0,no_share,high,high,prior,0.52
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,oysters,3,high_risk_share,high,low,posterior,0.97
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,oysters,3,high_risk_share,high,low,prior,0.85
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,social,7,no_share,low,low,posterior,0.53
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,social,7,no_share,low,low,prior,0.24
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,soup,8,no_share,low,high,posterior,0.5
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,soup,8,no_share,low,high,prior,0.52
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,takeout,4,low_risk_share,high,low,posterior,0.38
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,takeout,4,low_risk_share,high,low,prior,0.24
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,wedding,6,low_risk_share,high,high,posterior,0.18
04eb5b92-6f30-5325-ae8f-3f2990b2e98f,wedding,6,low_risk_share,high,high,prior,0.79
069c857f-e545-5647-9cda-f896bbaeabbe,apples,1,high_risk_share,high,low,posterior,0.97
069c857f-e545-5647-9cda-f896bbaeabbe,apples,1,high_risk_share,high,low,prior,0.59
069c857f-e545-5647-9cda-f896bbaeabbe,basketball,12,high_risk_share,low,low,posterior,0.98
069c857f-e545-5647-9cda-f896bbaeabbe,basketball,12,high_risk_share,low,low,prior,0.64
069c857f-e545-5647-9cda-f896bbaeabbe,birthday,15,low_risk_share,high,low,posterior,0.9
069c857f-e545-5647-9cda-f896bbaeabbe,birthday,15,low_risk_share,high,low,prior,0.64
069c857f-e545-5647-9cda-f896bbaeabbe,brunch,10,no_share,low,high,posterior,0.81
069c857f-e545-5647-9cda-f896bbaeabbe,brunch,10,no_share,low,high,prior,0.89
069c857f-e545-5647-9cda-f896bbaeabbe,cooking,11,low_risk_share,high,low,posterior,0.87
069c857f-e545-5647-9cda-f896bbaeabbe,cooking,11,low_risk_share,high,low,prior,0.93
069c857f-e545-5647-9cda-f896bbaeabbe,dip,8,low_risk_share,high,high,posterior,0.7
069c857f-e545-5647-9cda-f896bbaeabbe,dip,8,low_risk_share,high,high,prior,0.85
069c857f-e545-5647-9cda-f896bbaeabbe,drinks,2,no_share,high,high,posterior,0.48
069c857f-e545-5647-9cda-f896bbaeabbe,drinks,2,no_share,high,high,prior,0.44
069c857f-e545-5647-9cda-f896bbaeabbe,driving,7,high_risk_share,high,high,posterior,0.74
069c857f-e545-5647-9cda-f896bbaeabbe,driving,7,high_risk_share,high,high,prior,0.74
069c857f-e545-5647-9cda-f896bbaeabbe,fair,9,no_share,high,low,posterior,0.48
069c857f-e545-5647-9cda-f896bbaeabbe,fair,9,no_share,high,low,prior,0.64
069c857f-e545-5647-9cda-f896bbaeabbe,gala,14,low_risk_share,low,low,posterior,0.68
069c857f-e545-5647-9cda-f896bbaeabbe,gala,14,low_risk_share,low,low,prior,0.69
069c857f-e545-5647-9cda-f896bbaeabbe,hike,6,no_share,low,high,posterior,0.53
069c857f-e545-5647-9cda-f896bbaeabbe,hike,6,no_share,low,high,prior,0.75
069c857f-e545-5647-9cda-f896bbaeabbe,oysters,5,no_share,low,low,posterior,0.48
069c857f-e545-5647-9cda-f896bbaeabbe,oysters,5,no_share,low,low,prior,0.41
069c857f-e545-5647-9cda-f896bbaeabbe,social,13,high_risk_share,low,high,posterior,0.89
069c857f-e545-5647-9cda-f896bbaeabbe,social,13,high_risk_share,low,high,prior,0.49
069c857f-e545-5647-9cda-f896bbaeabbe,soup,3,low_risk_share,low,low,posterior,0.62
069c857f-e545-5647-9cda-f896bbaeabbe,soup,3,low_risk_share,low,low,prior,0.73
069c857f-e545-5647-9cda-f896bbaeabbe,takeout,4,high_risk_share,high,high,posterior,0.56
069c857f-e545-5647-9cda-f896bbaeabbe,takeout,4,high_risk_share,high,high,prior,0.4
069c857f-e545-5647-9cda-f896bbaeabbe,wedding,0,low_risk_share,low,high,posterior,0.82
069c857f-e545-5647-9cda-f896bbaeabbe,wedding,0,low_risk_share,low,high,prior,0.71
07e1e5bc-6214-5239-aabb-bf7e325f330b,apples,2,no_share,low,high,posterior,0.49
07e1e5bc-6214-5239-aabb-bf7e325f330b,apples,2,no_share,low,high,prior,0.49
07e1e5bc-6214-5239-aabb-bf7e325f330b,basketball,15,no_share,high,high,posterior,0.48
07e1e5bc-6214-5239-aabb-bf7e325f330b,basketball,15,no_share,high,high,prior,0.51
07e1e5bc-6214-5239-aabb-bf7e325f330b,birthday,8,low_risk_share,low,low,posterior,0.49
07e1e5bc-6214-5239-aabb-bf7e325f330b,birthday,8,low_risk_share,low,low,prior,0.51
07e1e5bc-6214-5239-aabb-bf7e325f330b,brunch,9,high_risk_share,high,low,posterior,0.49
07e1e5bc-6214-5239-aabb-bf7e325f330b,brunch,9,high_risk_share,high,low,prior,0.5
07e1e5bc-6214-5239-aabb-bf7e325f330b,cooking,11,high_risk_share,high,high,posterior,0.89
07e1e5bc-6214-5239-aabb-bf7e325f330b,cooking,11,high_risk_share,high,high,prior,0.49
07e1e5bc-6214-5239-aabb-bf7e325f330b,dip,7,low_risk_share,low,high,posterior,0.5
07e1e5bc-6214-5239-aabb-bf7e325f330b,dip,7,low_risk_share,low,high,prior,0.51
07e1e5bc-6214-5239-aabb-bf7e325f330b,drinks,5,high_risk_share,low,high,posterior,1.0
07e1e5bc-6214-5239-aabb-bf7e325f330b,drinks,5,high_risk_share,low,high,prior,0.51
07e1e5bc-6214-5239-aabb-bf7e325f330b,driving,10,low_risk_share,high,low,posterior,0.49
07e1e5bc-6214-5239-aabb-bf7e325f330b,driving,10,low_risk_share,high,low,prior,0.51
07e1e5bc-6214-5239-aabb-bf7e325f330b,fair,14,high_risk_share,high,low,posterior,0.9
07e1e5bc-6214-5239-aabb-bf7e325f330b,fair,14,high_risk_share,high,low,prior,0.49
07e1e5bc-6214-5239-aabb-bf7e325f330b,gala,4,low_risk_share,low,high,posterior,0.77
07e1e5bc-6214-5239-aabb-bf7e325f330b,gala,4,low_risk_share,low,high,prior,0.95
07e1e5bc-6214-5239-aabb-bf7e325f330b,hike,3,no_share,low,low,posterior,0.49
07e1e5bc-6214-5239-aabb-bf7e325f330b,hike,3,no_share,low,low,prior,0.5
07e1e5bc-6214-5239-aabb-bf7e325f330b,oysters,0,no_share,high,low,posterior,0.5
07e1e5bc-6214-5239-aabb-bf7e325f330b,oysters,0,no_share,high,low,prior,0.76
07e1e5bc-6214-5239-aabb-bf7e325f330b,social,6,high_risk_share,low,low,posterior,1.0
07e1e5bc-6214-5239-aabb-bf7e325f330b,social,6,high_risk_share,low,low,prior,0.51
07e1e5bc-6214-5239-aabb-bf7e325f330b,soup,1,low_risk_share,high,high,posterior,1.0
07e1e5bc-6214-5239-aabb-bf7e325f330b,soup,1,low_risk_share,high,high,prior,1.0
07e1e5bc-6214-5239-aabb-bf7e325f330b,takeout,13,no_share,high,low,posterior,0.49
07e1e5bc-6214-5239-aabb-bf7e325f330b,takeout,13,no_share,high,low,prior,0.51
07e1e5bc-6214-5239-aabb-bf7e325f330b,wedding,12,high_risk_share,low,high,posterior,0.97
07e1e5bc-6214-5239-aabb-bf7e325f330b,wedding,12,high_risk_share,low,high,prior,0.49
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,apples,15,low_risk_share,low,high,posterior,0.13
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,apples,15,low_risk_share,low,high,prior,0.66
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,basketball,5,low_risk_share,low,high,posterior,0.17
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,basketball,5,low_risk_share,low,high,prior,0.61
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,birthday,2,no_share,low,low,posterior,0.11
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,birthday,2,no_share,low,low,prior,0.37
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,brunch,1,high_risk_share,high,low,posterior,0.84
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,brunch,1,high_risk_share,high,low,prior,0.62
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,cooking,6,high_risk_share,high,high,posterior,0.9
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,cooking,6,high_risk_share,high,high,prior,0.61
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,dip,8,high_risk_share,low,high,posterior,0.65
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,dip,8,high_risk_share,low,high,prior,0.3
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,drinks,4,high_risk_share,low,high,posterior,0.92
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,drinks,4,high_risk_share,low,high,prior,0.43
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,driving,0,high_risk_share,high,low,posterior,1.0
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,driving,0,high_risk_share,high,low,prior,0.23
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,fair,13,low_risk_share,low,low,posterior,0.4
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,fair,13,low_risk_share,low,low,prior,0.59
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,gala,14,no_share,high,low,posterior,0.1
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,gala,14,no_share,high,low,prior,0.67
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,hike,12,no_share,low,high,posterior,0.05
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,hike,12,no_share,low,high,prior,0.24
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,oysters,10,no_share,high,low,posterior,0.1
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,oysters,10,no_share,high,low,prior,0.24
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,social,11,no_share,high,high,posterior,0.5
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,social,11,no_share,high,high,prior,0.66
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,soup,3,high_risk_share,low,low,posterior,0.9
07e62e15-8c70-52a8-b9b2-1f85f3026fb9,soup,3,high_risk_share,low,low,prior,0.27
