scenario_label,effort_condition,action,risk_raw,risk_raw_std,risk,effort_raw,effort_raw_std,effort,g_raw,g_raw_std,g,n_runs_risk,n_runs_effort,n_runs_g,n_failures_risk,n_failures_effort,n_failures_g
brunch,high,low_risk_share,0.5,0.0,0.08333333333333333,3.7999999999999994,4.440892098500626e-16,0.6333333333333332,6.0,0.0,1.0,10,10,10,0,0,0
brunch,high,high_risk_share,4.1,0.2,0.6833333333333332,0.5,0.0,0.08333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,low,low_risk_share,0.0,0.0,0.0,2.0,0.0,0.3333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low,high_risk_share,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
takeout,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,high,low_risk_share,0.0,0.0,0.0,3.0,0.0,0.5,6.0,0.0,1.0,10,10,10,0,0,0
takeout,high,high_risk_share,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
cooking,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
cooking,low,low_risk_share,0.15,0.22912878474779202,0.024999999999999998,2.0,0.0,0.3333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
cooking,low,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
cooking,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
cooking,high,low_risk_share,0.15,0.22912878474779202,0.024999999999999998,3.5,0.0,0.5833333333333333,6.0,0.0,1.0,10,10,10,0,0,0
cooking,high,high_risk_share,6.0,0.0,1.0,1.55,0.15,0.2583333333333333,6.0,0.0,1.0,10,10,10,0,0,0
apples,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
apples,low,low_risk_share,0.0,0.0,0.0,0.95,0.15,0.15833333333333333,6.0,0.0,1.0,10,10,10,0,0,0
apples,low,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
apples,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
apples,high,low_risk_share,0.0,0.0,0.0,6.0,0.0,1.0,6.0,0.0,1.0,10,10,10,0,0,0
apples,high,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
drinks,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,10,10,1,0,0
drinks,low,low_risk_share,0.0,0.0,0.0,1.5,0.0,0.25,6.0,0.0,1.0,9,10,10,1,0,0
drinks,low,high_risk_share,6.0,0.0,1.0,0.5,0.0,0.08333333333333333,6.0,0.0,1.0,9,10,10,1,0,0
drinks,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,10,10,1,0,0
drinks,high,low_risk_share,0.0,0.0,0.0,5.35,0.45,0.8916666666666666,6.0,0.0,1.0,9,10,10,1,0,0
drinks,high,high_risk_share,6.0,0.0,1.0,0.9,0.30000000000000004,0.15,6.0,0.0,1.0,9,10,10,1,0,0
dip,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
dip,low,low_risk_share,0.0,0.0,0.0,2.0,0.0,0.3333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
dip,low,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
dip,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
dip,high,low_risk_share,0.0,0.0,0.0,2.5,0.0,0.41666666666666663,6.0,0.0,1.0,10,10,10,0,0,0
dip,high,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
driving,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,0.39999999999999997,10,10,10,0,0,0
driving,low,low_risk_share,0.0,0.0,0.0,1.95,0.15,0.32499999999999996,6.0,0.0,1.0,10,10,10,0,0,0
driving,low,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
driving,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,0.39999999999999997,10,10,10,0,0,0
driving,high,low_risk_share,0.0,0.0,0.0,4.3,0.39999999999999997,0.7166666666666666,6.0,0.0,1.0,10,10,10,0,0,0
driving,high,high_risk_share,6.0,0.0,1.0,1.5,0.0,0.25,6.0,0.0,1.0,10,10,10,0,0,0
gala,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
gala,low,low_risk_share,1.0,0.0,0.16666666666666666,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
gala,low,high_risk_share,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
gala,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
gala,high,low_risk_share,1.0,0.0,0.16666666666666666,2.95,0.35,0.4916666666666667,6.0,0.0,1.0,10,10,10,0,0,0
gala,high,high_risk_share,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
fair,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
fair,low,low_risk_share,0.0,0.0,0.0,3.7,0.33166247903553997,0.6166666666666667,6.0,0.0,1.0,10,10,10,0,0,0
fair,low,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
fair,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
fair,high,low_risk_share,0.0,0.0,0.0,5.0,0.0,0.8333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
fair,high,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
hike,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
hike,low,low_risk_share,3.0,0.0,0.5,1.5,0.0,0.25,6.0,0.0,1.0,10,10,10,0,0,0
hike,low,high_risk_share,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
hike,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
hike,high,low_risk_share,3.0,0.0,0.5,5.5,0.0,0.9166666666666666,6.0,0.0,1.0,10,10,10,0,0,0
hike,high,high_risk_share,6.0,0.0,1.0,0.7,0.24494897427831783,0.11666666666666665,6.0,0.0,1.0,10,10,10,0,0,0
oysters,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
oysters,low,low_risk_share,0.0,0.0,0.0,1.7,0.4,0.2833333333333333,6.0,0.0,1.0,10,10,10,0,0,0
oysters,low,high_risk_share,6.0,0.0,1.0,1.9,0.19999999999999998,0.31666666666666665,6.0,0.0,1.0,10,10,10,0,0,0
oysters,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
oysters,high,low_risk_share,0.0,0.0,0.0,4.5,0.0,0.75,6.0,0.0,1.0,10,10,10,0,0,0
oysters,high,high_risk_share,6.0,0.0,1.0,1.5,0.0,0.25,6.0,0.0,1.0,10,10,10,0,0,0
social,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
social,low,low_risk_share,3.0,0.0,0.5,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
social,low,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
social,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
social,high,low_risk_share,3.0,0.0,0.5,4.0,0.0,0.6666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
social,high,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
soup,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
soup,low,low_risk_share,2.7,0.45825756949558405,0.45,3.5,0.0,0.5833333333333333,6.0,0.0,1.0,10,10,10,0,0,0
soup,low,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
soup,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
soup,high,low_risk_share,2.7,0.45825756949558405,0.45,4.5,0.0,0.75,6.0,0.0,1.0,10,10,10,0,0,0
soup,high,high_risk_share,6.0,0.0,1.0,1.4,0.19999999999999998,0.2333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
wedding,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
wedding,low,low_risk_share,2.0,0.0,0.3333333333333333,1.6,0.19999999999999998,0.26666666666666666,4.0,0.0,0.6666666666666666,10,10,10,0,0,0
wedding,low,high_risk_share,5.0,0.0,0.8333333333333333,2.4,0.8,0.39999999999999997,6.0,0.0,1.0,10,10,10,0,0,0
wedding,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
wedding,high,low_risk_share,2.0,0.0,0.3333333333333333,4.5,0.0,0.75,4.0,0.0,0.6666666666666666,10,10,10,0,0,0
wedding,high,high_risk_share,5.0,0.0,0.8333333333333333,2.5,0.0,0.41666666666666663,6.0,0.0,1.0,10,10,10,0,0,0
