scenario_label,action,motivation,v_raw,v_raw_std,v,n_runs,n_failures
apples,3,low,0.0,0.0,0.0,10,0
apples,0,high,-3.0,0.0,-1.0,10,0
apples,1,high,2.05,0.15,0.6833333333333332,10,0
apples,2,high,3.0,0.0,1.0,10,0
apples,3,high,3.0,0.0,1.0,10,0
dip,0,low,3.0,0.0,1.0,10,0
dip,1,low,-2.0,0.0,-0.6666666666666666,10,0
dip,2,low,-2.0,0.0,-0.6666666666666666,10,0
dip,3,low,-2.0,0.0,-0.6666666666666666,10,0
dip,0,high,-3.0,0.0,-1.0,10,0
dip,1,high,3.0,0.0,1.0,10,0
dip,2,high,2.5,0.0,0.8333333333333334,10,0
dip,3,high,2.0,0.0,0.6666666666666666,10,0
drinks,0,low,3.0,0.0,1.0,10,0
drinks,1,low,-1.9,0.3,-0.6333333333333333,10,0
drinks,2,low,-2.35,0.32015621187164245,-0.7833333333333333,10,0
drinks,3,low,-3.0,0.0,-1.0,10,0
drinks,0,high,-0.2,0.4000000000000001,-0.06666666666666667,10,0
drinks,1,high,2.5,0.0,0.8333333333333334,10,0
drinks,2,high,2.0,0.0,0.6666666666666666,10,0
drinks,3,high,1.5,0.0,0.5,10,0
driving,0,low,0.3,0.6,0.09999999999999999,10,0
driving,1,low,0.3,0.6,0.09999999999999999,10,0
driving,2,low,0.3,0.6,0.09999999999999999,10,0
driving,3,low,0.1,0.20000000000000004,0.03333333333333333,10,0
driving,0,high,-2.25,0.51234753829798,-0.75,10,0
driving,1,high,2.8,0.2449489742783178,0.9333333333333332,10,0
driving,2,high,2.8,0.2449489742783178,0.9333333333333332,10,0
driving,3,high,2.45,0.4153311931459038,0.8166666666666668,10,0
fair,0,low,2.5,0.0,0.8333333333333334,10,0
fair,1,low,2.0,0.0,0.6666666666666666,10,0
fair,2,low,1.5,0.0,0.5,10,0
fair,3,low,-1.0,0.0,-0.3333333333333333,10,0
fair,0,high,-3.0,0.0,-1.0,10,0
fair,1,high,1.5,0.0,0.5,10,0
fair,2,high,1.45,0.15,0.48333333333333334,10,0
fair,3,high,2.35,0.8077747210701757,0.7833333333333333,10,0
gala,0,low,3.0,0.0,1.0,10,0
gala,1,low,-1.9,0.3,-0.6333333333333333,10,0
gala,2,low,-2.45,0.15,-0.8166666666666668,10,0
gala,3,low,-3.0,0.0,-1.0,10,0
gala,0,high,-3.0,0.0,-1.0,10,0
gala,1,high,2.65,0.22912878474779202,0.8833333333333333,10,0
gala,2,high,2.71,0.13747727084867511,0.9033333333333333,10,0
gala,3,high,3.0,0.0,1.0,10,0
hike,0,low,0.0,0.0,0.0,10,0
hike,1,low,0.0,0.0,0.0,10,0
hike,2,low,0.0,0.0,0.0,10,0
hike,3,low,0.0,0.0,0.0,10,0
hike,0,high,-3.0,0.0,-1.0,10,0
hike,1,high,3.0,0.0,1.0,10,0
hike,2,high,1.5,0.0,0.5,10,0
hike,3,high,2.5,0.0,0.8333333333333334,10,0
oysters,0,low,0.0,0.0,0.0,10,0
oysters,1,low,0.0,0.0,0.0,10,0
oysters,2,low,0.0,0.0,0.0,10,0
oysters,3,low,0.0,0.0,0.0,10,0
oysters,0,high,-3.0,0.0,-1.0,10,0
oysters,1,high,2.4,0.19999999999999998,0.7999999999999999,10,0
oysters,2,high,1.3,0.24494897427831783,0.43333333333333335,10,0
oysters,3,high,3.0,0.0,1.0,10,0
social,0,low,0.0,0.0,0.0,10,0
social,1,low,0.0,0.0,0.0,10,0
social,2,low,0.0,0.0,0.0,10,0
social,3,low,0.0,0.0,0.0,10,0
social,0,high,-1.55,0.4153311931459037,-0.5166666666666667,10,0
social,1,high,2.5,0.0,0.8333333333333334,10,0
social,2,high,2.0,0.0,0.6666666666666666,10,0
social,3,high,2.8,0.0,0.9333333333333332,10,0
soup,0,low,0.0,0.0,0.0,10,0
soup,1,low,0.0,0.0,0.0,10,0
soup,2,low,0.85,1.0499999999999998,0.2833333333333333,10,0
soup,3,low,1.03,1.2641598000252974,0.3433333333333333,10,0
soup,0,high,-1.0,0.0,-0.3333333333333333,10,0
soup,1,high,2.5,0.0,0.8333333333333334,10,0
soup,2,high,2.8,0.0,0.9333333333333332,10,0
soup,3,high,3.0,0.0,1.0,10,0
wedding,0,low,2.4,1.2,0.7999999999999999,10,0
wedding,1,low,1.45,1.35,0.48333333333333334,10,0
wedding,2,low,1.45,1.35,0.48333333333333334,10,0
wedding,3,low,0.3,1.503329637837291,0.09999999999999999,10,0
wedding,0,high,-3.0,0.0,-1.0,10,0
wedding,1,high,2.5,0.0,0.8333333333333334,10,0
wedding,2,high,2.8,0.0,0.9333333333333332,10,0
wedding,3,high,3.0,0.0,1.0,10,0
