scenario_label,action,access_raw,access_raw_std,effort_raw,effort_raw_std,access,effort,n_runs_access,n_runs_effort
breakup,1,1.3800000000000001,0.1469693845669907,0.44000000000000006,0.12,0.46,0.07333333333333333,10,10
breakup,2,3.44,0.2939387691339812,1.0599999999999998,0.27999999999999997,1.1466666666666665,0.17666666666666664,10,10
breakup,3,5.68,0.1469693845669906,4.369999999999999,0.8626123115281858,1.893333333333333,0.7283333333333332,10,10
payment,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
payment,1,2.5,0.0,2.5,0.0,0.8333333333333333,0.41666666666666663,10,10
payment,2,3.2,0.0,1.8,0.0,1.0666666666666667,0.3,10,10
payment,3,4.799999999999999,8.881784197001252e-16,0.5,0.0,1.5999999999999996,0.08333333333333333,10,10
gossip,0,0.2,0.0,0.0,0.0,0.06666666666666667,0.0,10,10
gossip,1,1.5,0.0,0.5,0.0,0.5,0.08333333333333333,10,10
gossip,2,4.000000000000001,0.39999999999999997,1.0,0.0,1.3333333333333335,0.16666666666666666,10,10
gossip,3,5.799999999999999,8.881784197001252e-16,1.65,0.22912878474779202,1.933333333333333,0.27499999999999997,10,10
home,0,0.5,0.0,0.5,0.0,0.16666666666666666,0.08333333333333333,10,10
home,1,1.1999999999999997,2.220446049250313e-16,5.799999999999999,8.881784197001252e-16,0.3999999999999999,0.9666666666666665,10,10
home,2,2.5,0.0,3.5,0.0,0.8333333333333333,0.5833333333333333,10,10
home,3,5.799999999999999,8.881784197001252e-16,0.2,0.0,1.933333333333333,0.03333333333333333,10,10
navigation,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
navigation,1,2.5,0.0,1.5,0.0,0.8333333333333333,0.25,10,10
navigation,2,4.799999999999999,8.881784197001252e-16,2.5,0.0,1.5999999999999996,0.41666666666666663,10,10
navigation,3,6.0,0.0,2.4,0.3999999999999999,2.0,0.39999999999999997,10,10
