scenario_label,observed_action,motivation,alt_idx,motivation_query,v_raw,v_raw_std,v,n_runs
apples,action_3,low,7,low,1.2,0.4,0.39999999999999997,10
apples,action_3,low,7,high,2.5,0.5,0.8333333333333334,10
apples,action_3,low,8,low,1.3,0.45825756949558394,0.43333333333333335,10
apples,action_3,low,8,high,-2.1,0.3,-0.7000000000000001,10
apples,action_3,high,0,low,-0.9,0.3,-0.3,10
apples,action_3,high,0,high,-3.0,0.0,-1.0,10
apples,action_3,high,1,low,-0.7,0.45825756949558394,-0.2333333333333333,10
apples,action_3,high,1,high,3.0,0.0,1.0,10
apples,action_3,high,2,low,-1.0,0.0,-0.3333333333333333,10
apples,action_3,high,2,high,-0.8,0.4,-0.26666666666666666,10
apples,action_3,high,3,low,0.3,0.6403124237432849,0.09999999999999999,10
apples,action_3,high,3,high,-2.9,0.3,-0.9666666666666667,10
apples,action_3,high,4,low,-0.2,0.4000000000000001,-0.06666666666666667,10
apples,action_3,high,4,high,3.0,0.0,1.0,10
apples,action_3,high,5,low,0.1,0.30000000000000004,0.03333333333333333,10
apples,action_3,high,5,high,2.0,0.0,0.6666666666666666,10
apples,action_3,high,6,low,1.2,0.4,0.39999999999999997,10
apples,action_3,high,6,high,2.5,0.5,0.8333333333333334,10
apples,action_3,high,7,low,0.0,0.0,0.0,10
apples,action_3,high,7,high,-0.4,0.4898979485566356,-0.13333333333333333,10
basketball,action_0,low,0,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_0,low,0,high,-2.85,0.45,-0.9500000000000001,10
basketball,action_0,low,1,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_0,low,1,high,-2.85,0.45,-0.9500000000000001,10
basketball,action_0,low,2,low,0.0,0.0,0.0,10
basketball,action_0,low,2,high,0.0,0.0,0.0,10
basketball,action_0,low,3,low,-0.7,0.6403124237432849,-0.2333333333333333,10
basketball,action_0,low,3,high,1.95,0.15,0.65,10
basketball,action_0,low,4,low,0.0,0.4472135954999579,0.0,10
basketball,action_0,low,4,high,2.95,0.15,0.9833333333333334,10
basketball,action_0,low,5,low,-0.6,0.66332495807108,-0.19999999999999998,10
basketball,action_0,low,5,high,2.9,0.3,0.9666666666666667,10
basketball,action_0,low,6,low,-0.6,0.66332495807108,-0.19999999999999998,10
basketball,action_0,low,6,high,2.9,0.3,0.9666666666666667,10
basketball,action_0,low,7,low,0.0,0.7745966692414834,0.0,10
basketball,action_0,low,7,high,2.95,0.15,0.9833333333333334,10
basketball,action_0,low,8,low,0.3,0.45825756949558394,0.09999999999999999,10
basketball,action_0,low,8,high,2.0,0.7745966692414834,0.6666666666666666,10
basketball,action_0,high,0,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_0,high,0,high,-2.85,0.45,-0.9500000000000001,10
basketball,action_0,high,1,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_0,high,1,high,-2.85,0.45,-0.9500000000000001,10
basketball,action_0,high,2,low,0.0,0.4472135954999579,0.0,10
basketball,action_0,high,2,high,2.95,0.15,0.9833333333333334,10
basketball,action_0,high,3,low,0.0,0.4472135954999579,0.0,10
basketball,action_0,high,3,high,2.9,0.3,0.9666666666666667,10
basketball,action_0,high,4,low,0.0,0.4472135954999579,0.0,10
basketball,action_0,high,4,high,2.9,0.3,0.9666666666666667,10
basketball,action_0,high,5,low,-0.7,0.6403124237432849,-0.2333333333333333,10
basketball,action_0,high,5,high,1.95,0.15,0.65,10
basketball,action_0,high,6,low,0.0,0.7745966692414834,0.0,10
basketball,action_0,high,6,high,2.95,0.15,0.9833333333333334,10
basketball,action_0,high,7,low,0.3,0.45825756949558394,0.09999999999999999,10
basketball,action_0,high,7,high,2.0,0.7745966692414834,0.6666666666666666,10
basketball,action_1,low,0,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_1,low,0,high,-2.85,0.45,-0.9500000000000001,10
basketball,action_1,low,1,low,0.4,0.4898979485566356,0.13333333333333333,10
basketball,action_1,low,1,high,-3.0,0.0,-1.0,10
basketball,action_1,low,2,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_1,low,2,high,0.0,0.0,0.0,10
basketball,action_1,low,3,low,-0.7,0.6403124237432849,-0.2333333333333333,10
basketball,action_1,low,3,high,2.6,0.48989794855663565,0.8666666666666667,10
basketball,action_1,low,4,low,0.5,0.5,0.16666666666666666,10
basketball,action_1,low,4,high,2.0,0.7745966692414834,0.6666666666666666,10
basketball,action_1,low,5,low,0.0,0.7745966692414834,0.0,10
basketball,action_1,low,5,high,2.95,0.15,0.9833333333333334,10
basketball,action_1,low,6,low,0.3,0.45825756949558394,0.09999999999999999,10
basketball,action_1,low,6,high,1.1,0.5385164807134505,0.3666666666666667,10
basketball,action_1,low,7,low,0.0,0.4472135954999579,0.0,10
basketball,action_1,low,7,high,2.95,0.15,0.9833333333333334,10
basketball,action_1,high,0,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_1,high,0,high,-2.85,0.45,-0.9500000000000001,10
basketball,action_1,high,1,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_1,high,1,high,-2.85,0.45,-0.9500000000000001,10
basketball,action_1,high,2,low,0.4,0.4898979485566356,0.13333333333333333,10
basketball,action_1,high,2,high,-3.0,0.0,-1.0,10
basketball,action_1,high,3,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_1,high,3,high,0.0,0.0,0.0,10
basketball,action_1,high,4,low,0.0,0.4472135954999579,0.0,10
basketball,action_1,high,4,high,2.9,0.3,0.9666666666666667,10
basketball,action_1,high,5,low,0.3,0.45825756949558394,0.09999999999999999,10
basketball,action_1,high,5,high,1.5,0.6708203932499369,0.5,10
basketball,action_1,high,6,low,0.0,0.7745966692414834,0.0,10
basketball,action_1,high,6,high,2.95,0.15,0.9833333333333334,10
basketball,action_1,high,7,low,-0.7,0.6403124237432849,-0.2333333333333333,10
basketball,action_1,high,7,high,2.0,0.0,0.6666666666666666,10
basketball,action_1,high,8,low,0.5,0.5,0.16666666666666666,10
basketball,action_1,high,8,high,0.9,0.30000000000000004,0.3,10
basketball,action_2,low,0,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_2,low,0,high,-2.85,0.45,-0.9500000000000001,10
basketball,action_2,low,1,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_2,low,1,high,-2.85,0.45,-0.9500000000000001,10
basketball,action_2,low,2,low,0.4,0.4898979485566356,0.13333333333333333,10
basketball,action_2,low,2,high,-3.0,0.0,-1.0,10
basketball,action_2,low,3,low,0.0,0.4472135954999579,0.0,10
basketball,action_2,low,3,high,2.95,0.15,0.9833333333333334,10
basketball,action_2,low,4,low,0.0,0.4472135954999579,0.0,10
basketball,action_2,low,4,high,2.9,0.3,0.9666666666666667,10
basketball,action_2,low,5,low,0.0,0.4472135954999579,0.0,10
basketball,action_2,low,5,high,2.9,0.3,0.9666666666666667,10
basketball,action_2,low,6,low,-0.7,0.6403124237432849,-0.2333333333333333,10
basketball,action_2,low,6,high,1.95,0.15,0.65,10
basketball,action_2,high,0,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_2,high,0,high,-2.85,0.45,-0.9500000000000001,10
basketball,action_2,high,1,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_2,high,1,high,-2.85,0.45,-0.9500000000000001,10
basketball,action_2,high,2,low,0.4,0.4898979485566356,0.13333333333333333,10
basketball,action_2,high,2,high,-3.0,0.0,-1.0,10
basketball,action_2,high,3,low,-0.7,0.6403124237432849,-0.2333333333333333,10
basketball,action_2,high,3,high,1.95,0.15,0.65,10
basketball,action_2,high,4,low,0.0,0.4472135954999579,0.0,10
basketball,action_2,high,4,high,2.95,0.15,0.9833333333333334,10
basketball,action_2,high,5,low,-0.8,0.6000000000000001,-0.26666666666666666,10
basketball,action_2,high,5,high,2.3,0.45825756949558405,0.7666666666666666,10
basketball,action_2,high,6,low,-0.8,0.6000000000000001,-0.26666666666666666,10
basketball,action_2,high,6,high,2.3,0.45825756949558405,0.7666666666666666,10
basketball,action_2,high,7,low,0.0,0.7745966692414834,0.0,10
basketball,action_2,high,7,high,2.95,0.15,0.9833333333333334,10
basketball,action_2,high,8,low,0.0,0.0,0.0,10
basketball,action_2,high,8,high,0.0,0.0,0.0,10
basketball,action_3,low,0,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_3,low,0,high,-2.85,0.45,-0.9500000000000001,10
basketball,action_3,low,1,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_3,low,1,high,-2.85,0.45,-0.9500000000000001,10
basketball,action_3,low,2,low,0.4,0.4898979485566356,0.13333333333333333,10
basketball,action_3,low,2,high,-3.0,0.0,-1.0,10
basketball,action_3,low,3,low,0.0,0.4472135954999579,0.0,10
basketball,action_3,low,3,high,2.95,0.15,0.9833333333333334,10
basketball,action_3,low,4,low,-0.7,0.6403124237432849,-0.2333333333333333,10
basketball,action_3,low,4,high,1.95,0.15,0.65,10
basketball,action_3,low,5,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_3,low,5,high,0.95,0.15,0.31666666666666665,10
basketball,action_3,low,6,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_3,low,6,high,0.95,0.15,0.31666666666666665,10
basketball,action_3,low,7,low,0.0,0.7745966692414834,0.0,10
basketball,action_3,low,7,high,2.95,0.15,0.9833333333333334,10
basketball,action_3,high,0,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_3,high,0,high,-2.85,0.45,-0.9500000000000001,10
basketball,action_3,high,1,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_3,high,1,high,-2.85,0.45,-0.9500000000000001,10
basketball,action_3,high,2,low,0.4,0.4898979485566356,0.13333333333333333,10
basketball,action_3,high,2,high,-3.0,0.0,-1.0,10
basketball,action_3,high,3,low,-0.1,0.5385164807134504,-0.03333333333333333,10
basketball,action_3,high,3,high,1.95,0.15,0.65,10
basketball,action_3,high,4,low,0.0,0.4472135954999579,0.0,10
basketball,action_3,high,4,high,2.3,0.45825756949558405,0.7666666666666666,10
basketball,action_3,high,5,low,-1.0,0.0,-0.3333333333333333,10
basketball,action_3,high,5,high,1.0,0.0,0.3333333333333333,10
basketball,action_3,high,6,low,0.5,0.5,0.16666666666666666,10
basketball,action_3,high,6,high,2.0,0.7745966692414834,0.6666666666666666,10
basketball,action_3,high,7,low,0.0,0.7745966692414834,0.0,10
basketball,action_3,high,7,high,2.95,0.15,0.9833333333333334,10
birthday,action_0,low,0,low,0.8,0.6,0.26666666666666666,10
birthday,action_0,low,0,high,2.5,0.0,0.8333333333333334,10
birthday,action_0,low,1,low,2.35,0.22912878474779202,0.7833333333333333,10
birthday,action_0,low,1,high,1.53,0.09000000000000001,0.51,10
birthday,action_0,low,2,low,0.6,0.9165151389911681,0.19999999999999998,10
birthday,action_0,low,2,high,0.5,0.0,0.16666666666666666,10
birthday,action_0,low,3,low,0.05,0.5220153254455275,0.016666666666666666,10
birthday,action_0,low,3,high,0.53,0.09000000000000001,0.17666666666666667,10
birthday,action_0,low,4,low,2.85,0.22912878474779202,0.9500000000000001,10
birthday,action_0,low,4,high,-1.95,0.15,-0.65,10
birthday,action_0,low,5,low,-1.8,0.7483314773547882,-0.6,10
birthday,action_0,low,5,high,-2.95,0.15,-0.9833333333333334,10
birthday,action_0,low,6,low,1.3,0.4,0.43333333333333335,10
birthday,action_0,low,6,high,2.02,0.060000000000000046,0.6733333333333333,10
birthday,action_0,low,7,low,-1.6,0.48989794855663565,-0.5333333333333333,10
birthday,action_0,low,7,high,-1.0,0.0,-0.3333333333333333,10
birthday,action_0,high,0,low,2.1,0.3,0.7000000000000001,10
birthday,action_0,high,0,high,2.5300000000000002,0.08999999999999994,0.8433333333333334,10
birthday,action_0,high,1,low,-2.1,0.19999999999999998,-0.7000000000000001,10
birthday,action_0,high,1,high,-1.35,0.45,-0.45,10
birthday,action_0,high,2,low,2.95,0.15,0.9833333333333334,10
birthday,action_0,high,2,high,-1.35,0.45,-0.45,10
birthday,action_0,high,3,low,-1.8,0.7483314773547882,-0.6,10
birthday,action_0,high,3,high,-2.95,0.15,-0.9833333333333334,10
birthday,action_0,high,4,low,1.95,0.2692582403567252,0.65,10
birthday,action_0,high,4,high,2.42,0.16613247725836147,0.8066666666666666,10
birthday,action_0,high,5,low,1.95,0.6103277807866851,0.65,10
birthday,action_0,high,5,high,2.02,0.060000000000000046,0.6733333333333333,10
birthday,action_0,high,6,low,2.45,0.15,0.8166666666666668,10
birthday,action_0,high,6,high,2.02,0.060000000000000046,0.6733333333333333,10
birthday,action_0,high,7,low,2.35,0.22912878474779202,0.7833333333333333,10
birthday,action_0,high,7,high,2.4699999999999998,0.08999999999999994,0.8233333333333333,10
birthday,action_0,high,8,low,0.0,0.0,0.0,10
birthday,action_0,high,8,high,0.0,0.0,0.0,10
birthday,action_0,high,9,low,1.3,0.4,0.43333333333333335,10
birthday,action_0,high,9,high,2.02,0.060000000000000046,0.6733333333333333,10
birthday,action_1,low,0,low,-1.6,0.48989794855663565,-0.5333333333333333,10
birthday,action_1,low,0,high,-0.8,0.6,-0.26666666666666666,10
birthday,action_1,low,1,low,2.95,0.15,0.9833333333333334,10
birthday,action_1,low,1,high,-0.8,0.6,-0.26666666666666666,10
birthday,action_1,low,2,low,-0.6,0.66332495807108,-0.19999999999999998,10
birthday,action_1,low,2,high,-1.1,0.3,-0.3666666666666667,10
birthday,action_1,low,3,low,2.0,0.22360679774997896,0.6666666666666666,10
birthday,action_1,low,3,high,2.02,0.060000000000000046,0.6733333333333333,10
birthday,action_1,low,4,low,2.4,0.19999999999999998,0.7999999999999999,10
birthday,action_1,low,4,high,2.5300000000000002,0.08999999999999994,0.8433333333333334,10
birthday,action_1,low,5,low,2.95,0.15,0.9833333333333334,10
birthday,action_1,low,5,high,-1.95,0.15,-0.65,10
birthday,action_1,low,6,low,-1.9,0.48989794855663565,-0.6333333333333333,10
birthday,action_1,low,6,high,-1.95,0.15,-0.65,10
birthday,action_1,low,7,low,1.4,0.3741657386773941,0.4666666666666666,10
birthday,action_1,low,7,high,1.9300000000000002,0.15524174696260024,0.6433333333333334,10
birthday,action_1,low,8,low,-1.9,0.66332495807108,-0.6333333333333333,10
birthday,action_1,low,8,high,-2.2,0.6,-0.7333333333333334,10
birthday,action_1,high,0,low,-1.6,0.48989794855663565,-0.5333333333333333,10
birthday,action_1,high,0,high,-0.8,0.6,-0.26666666666666666,10
birthday,action_1,high,1,low,2.0,0.22360679774997896,0.6666666666666666,10
birthday,action_1,high,1,high,2.02,0.060000000000000046,0.6733333333333333,10
birthday,action_1,high,2,low,2.95,0.15,0.9833333333333334,10
birthday,action_1,high,2,high,-0.8,0.6,-0.26666666666666666,10
birthday,action_1,high,3,low,1.95,0.2692582403567252,0.65,10
birthday,action_1,high,3,high,2.42,0.16613247725836147,0.8066666666666666,10
birthday,action_1,high,4,low,-0.6,0.66332495807108,-0.19999999999999998,10
birthday,action_1,high,4,high,-1.1,0.3,-0.3666666666666667,10
birthday,action_1,high,5,low,0.0,0.0,0.0,10
birthday,action_1,high,5,high,0.0,0.0,0.0,10
birthday,action_1,high,6,low,1.85,0.45,0.6166666666666667,10
birthday,action_1,high,6,high,2.44,0.11999999999999994,0.8133333333333334,10
birthday,action_1,high,7,low,1.75,0.4031128874149275,0.5833333333333334,10
birthday,action_1,high,7,high,2.0,0.0,0.6666666666666666,10
birthday,action_1,high,8,low,2.35,0.22912878474779202,0.7833333333333333,10
birthday,action_1,high,8,high,-0.9,0.3,-0.3,10
birthday,action_1,high,9,low,-2.3,0.6403124237432849,-0.7666666666666666,10
birthday,action_1,high,9,high,-3.0,0.0,-1.0,10
birthday,action_2,low,0,low,-1.6,0.48989794855663565,-0.5333333333333333,10
birthday,action_2,low,0,high,-0.8,0.6,-0.26666666666666666,10
birthday,action_2,low,1,low,2.95,0.15,0.9833333333333334,10
birthday,action_2,low,1,high,-0.8,0.6,-0.26666666666666666,10
birthday,action_2,low,2,low,0.4,0.6244997998398398,0.13333333333333333,10
birthday,action_2,low,2,high,0.7,0.6403124237432849,0.2333333333333333,10
birthday,action_2,low,3,low,2.0,0.31622776601683794,0.6666666666666666,10
birthday,action_2,low,3,high,2.42,0.16613247725836147,0.8066666666666666,10
birthday,action_2,low,4,low,2.85,0.22912878474779202,0.9500000000000001,10
birthday,action_2,low,4,high,-1.95,0.15,-0.65,10
birthday,action_2,low,5,low,-0.9,2.009975124224178,-0.3,10
birthday,action_2,low,5,high,-1.85,0.32015621187164245,-0.6166666666666667,10
birthday,action_2,low,6,low,-1.9,0.66332495807108,-0.6333333333333333,10
birthday,action_2,low,6,high,-2.95,0.15,-0.9833333333333334,10
birthday,action_2,low,7,low,2.0,0.22360679774997896,0.6666666666666666,10
birthday,action_2,low,7,high,2.02,0.060000000000000046,0.6733333333333333,10
birthday,action_2,low,8,low,1.75,0.4031128874149275,0.5833333333333334,10
birthday,action_2,low,8,high,2.3899999999999997,0.1757839583124694,0.7966666666666665,10
birthday,action_2,high,0,low,-1.6,0.48989794855663565,-0.5333333333333333,10
birthday,action_2,high,0,high,-0.8,0.6,-0.26666666666666666,10
birthday,action_2,high,1,low,2.95,0.15,0.9833333333333334,10
birthday,action_2,high,1,high,-0.8,0.6,-0.26666666666666666,10
birthday,action_2,high,2,low,0.4,0.6244997998398398,0.13333333333333333,10
birthday,action_2,high,2,high,0.7,0.6403124237432849,0.2333333333333333,10
birthday,action_2,high,3,low,-1.9,0.66332495807108,-0.6333333333333333,10
birthday,action_2,high,3,high,-2.95,0.15,-0.9833333333333334,10
birthday,action_2,high,4,low,1.55,0.4153311931459037,0.5166666666666667,10
birthday,action_2,high,4,high,1.75,0.25,0.5833333333333334,10
birthday,action_2,high,5,low,2.0,0.22360679774997896,0.6666666666666666,10
birthday,action_2,high,5,high,2.02,0.060000000000000046,0.6733333333333333,10
birthday,action_2,high,6,low,1.75,0.4031128874149275,0.5833333333333334,10
birthday,action_2,high,6,high,2.3899999999999997,0.1757839583124694,0.7966666666666665,10
birthday,action_2,high,7,low,1.95,0.2692582403567252,0.65,10
birthday,action_2,high,7,high,2.42,0.16613247725836147,0.8066666666666666,10
birthday,action_2,high,8,low,1.85,0.45,0.6166666666666667,10
birthday,action_2,high,8,high,2.44,0.11999999999999994,0.8133333333333334,10
birthday,action_2,high,9,low,2.4,0.19999999999999998,0.7999999999999999,10
birthday,action_2,high,9,high,2.5,0.0,0.8333333333333334,10
birthday,action_3,low,0,low,-1.6,0.48989794855663565,-0.5333333333333333,10
birthday,action_3,low,0,high,-0.8,0.6,-0.26666666666666666,10
birthday,action_3,low,1,low,2.95,0.15,0.9833333333333334,10
birthday,action_3,low,1,high,-0.8,0.6,-0.26666666666666666,10
birthday,action_3,low,2,low,1.95,0.2692582403567252,0.65,10
birthday,action_3,low,2,high,2.3899999999999997,0.1757839583124694,0.7966666666666665,10
birthday,action_3,low,3,low,0.4,0.6244997998398398,0.13333333333333333,10
birthday,action_3,low,3,high,0.7,0.6403124237432849,0.2333333333333333,10
birthday,action_3,low,4,low,-0.6,0.66332495807108,-0.19999999999999998,10
birthday,action_3,low,4,high,-1.1,0.3,-0.3666666666666667,10
birthday,action_3,low,5,low,2.95,0.15,0.9833333333333334,10
birthday,action_3,low,5,high,-1.0,0.0,-0.3333333333333333,10
birthday,action_3,low,6,low,-1.9,0.48989794855663565,-0.6333333333333333,10
birthday,action_3,low,6,high,-1.0,0.0,-0.3333333333333333,10
birthday,action_3,low,7,low,2.0,0.4472135954999579,0.6666666666666666,10
birthday,action_3,low,7,high,2.44,0.11999999999999994,0.8133333333333334,10
birthday,action_3,low,8,low,1.95,0.2692582403567252,0.65,10
birthday,action_3,low,8,high,2.42,0.16613247725836147,0.8066666666666666,10
birthday,action_3,high,0,low,-1.6,0.48989794855663565,-0.5333333333333333,10
birthday,action_3,high,0,high,-0.8,0.6,-0.26666666666666666,10
