scenario_label,observed_action,effort_condition,intimacy_condition,alt_idx,action_text,is_share
basketball,action_2,low,0,0,Carissa buys the hot dog and eats it herself,0
basketball,action_2,low,0,1,Josh buys the hot dog and eats it himself,0
basketball,action_2,low,0,2,They decide not to buy a hot dog and look for other food options,0
basketball,action_2,low,0,3,They cut the hot dog in half using a plastic knife and each eat a half,1
basketball,action_1,low,75,0,Carissa buys the hot dog and eats it all,0
basketball,action_1,low,75,1,Josh buys the hot dog and eats it all,0
basketball,action_1,low,75,2,They decide not to buy a hot dog,0
basketball,action_1,low,75,3,They take turns eating the hot dog in its entirety,1
basketball,action_2,low,50,0,Carissa buys the hot dog and eats it herself,0
basketball,action_2,low,50,1,Josh buys the hot dog and eats it himself,0
basketball,action_2,low,50,2,They decide not to get a hot dog and look for other food options,0
basketball,action_2,low,50,3,They cut the hot dog in half using a plastic knife from the condiment station,1
basketball,action_1,high,75,0,One person eats the whole hot dog,0
basketball,action_1,high,75,1,They decide not to get a hot dog,0
basketball,action_1,high,75,2,They take turns eating the hot dog in its entirety,1
basketball,action_1,high,75,3,They try to tear the hot dog in half,1
basketball,action_2,high,75,0,Carissa buys the hot dog and eats it alone,0
basketball,action_2,high,75,1,Josh buys the hot dog and eats it alone,0
basketball,action_2,high,75,2,They decide not to buy a hot dog and look for alternative food options,0
basketball,action_2,high,75,3,They cut the hot dog in half using some other object as a makeshift knife,1
basketball,action_2,high,0,0,Carissa buys the hot dog and eats it alone,0
basketball,action_2,high,0,1,Josh buys the hot dog and eats it alone,0
basketball,action_2,high,0,2,They decide not to buy a hot dog and look for other food options,0
basketball,action_2,high,0,3,"They cut the hot dog in half with a substitute cutting tool, if available",1
basketball,action_2,high,0,4,One person goes to the sit-down restaurant to get a knife to cut the hot dog in half,1
basketball,action_2,high,50,0,Cut the hot dog in half with their hands or teeth to split it,1
basketball,action_2,high,50,1,Flip a coin to decide who gets the hot dog,0
basketball,action_2,high,50,2,One person buys the hot dog and eats it alone,0
basketball,action_2,high,50,3,Go to the restaurant to get a knife to cut the hot dog,1
birthday,action_0,low,0,0,Lio and Mitchell share a slice of cake,1
birthday,action_0,low,0,1,Lio eats a whole slice and Mitchell does not eat any cake,0
birthday,action_0,low,0,2,Mitchell does not eat any cake and Lio eats a whole slice,0
birthday,action_0,low,0,3,Both Lio and Mitchell eat a whole slice of cake,0
basketball,action_2,low,75,0,Carissa buys the hot dog and eats it herself,0
basketball,action_2,low,75,1,Josh buys the hot dog and eats it himself,0
basketball,action_2,low,75,2,They cut the hot dog in half using a plastic knife and each eat a half,1
basketball,action_2,low,75,3,They decide not to buy a hot dog and look for another snack option,0
basketball,action_1,high,0,0,One person buys and eats the hot dog,0
basketball,action_1,high,0,1,They abandon getting a hot dog,0
basketball,action_1,high,0,2,They look for alternative food vendors that accept other forms of payment,0
basketball,action_1,high,0,3,"One person goes to get a knife while the other waits, but then only one eats the hot dog",0
basketball,action_1,high,0,4,They try to negotiate with the vendor for an alternative payment method,0
basketball,action_2,low,100,0,Carissa buys the hot dog and eats it all by herself,0
basketball,action_2,low,100,1,Josh buys the hot dog and eats it all by himself,0
basketball,action_2,low,100,2,They decide not to buy a hot dog and look for other food options,0
basketball,action_2,low,100,3,They cut the hot dog in half using the plastic knives and eat their respective halves,1
birthday,action_0,low,75,0,Lio and Mitchell share one slice of cake,1
birthday,action_0,low,75,1,Lio eats a whole slice of cake by herself,0
birthday,action_0,low,75,2,Mitchell eats a whole slice of cake by himself,0
birthday,action_0,low,75,3,Neither Lio nor Mitchell eat any cake,0
basketball,action_2,high,100,0,Carissa buys the hot dog and eats it alone,0
basketball,action_2,high,100,1,Josh buys the hot dog and eats it alone,0
basketball,action_2,high,100,2,They decide not to buy a hot dog and look for other options,0
basketball,action_2,high,100,3,They cut the hot dog in half with their hands or teeth to divide it,1
birthday,action_0,low,50,0,Lio and Mitchell share a slice of cake,1
birthday,action_0,low,50,1,Lio eats a slice and Mitchell doesn't have any cake,0
birthday,action_0,low,50,2,Mitchell gives his unfinished cake to Lio to finish,0
birthday,action_0,low,50,3,Neither Lio nor Mitchell eat any cake,0
birthday,action_0,low,100,0,Lio and Mitchell share a slice of cake,1
birthday,action_0,low,100,1,Lio eats a slice of cake and Mitchell does not,0
birthday,action_0,low,100,2,Neither Lio nor Mitchell eat any cake,0
birthday,action_0,low,100,3,"Lio and Mitchell each eat a separate slice, but only finish part of it",0
birthday,action_1,low,50,0,each take a full slice and eat as much as they want,0
birthday,action_1,low,50,1,Lio eats a full slice and Mitchell doesn't have any,0
birthday,action_1,low,50,2,Mitchell eats a full slice and Lio doesn't have any,0
birthday,action_1,low,50,3,they ask someone else to join them in sharing a slice,1
birthday,action_1,low,0,0,each take a full slice and eat alone,0
birthday,action_1,low,0,1,one person takes a full slice and the other doesn't have any,0
birthday,action_1,low,0,2,Lio eats the whole slice and Mitchell gets a different dessert,0
birthday,action_1,low,0,3,they ask the birthday person to cut smaller slices for everyone,1
birthday,action_1,low,0,4,Lio and Mitchell take turns eating from the same plate and fork,1
birthday,action_0,high,75,0,Lio and Mitchell share one slice of cake,1
birthday,action_0,high,75,1,Lio eats the cake and Mitchell doesn't,0
birthday,action_0,high,75,2,"Both Lio and Mitchell eat their own slices, but only finish part of them and leave the rest on their plates",1
birthday,action_0,high,75,3,Neither Lio nor Mitchell eats any cake,0
birthday,action_0,high,0,0,Lio and Mitchell share one slice of cake,1
birthday,action_0,high,0,1,Lio eats the whole slice and Mitchell does not eat any cake,0
birthday,action_0,high,0,2,Mitchell does not eat any cake and Lio throws away a full slice after not eating it,0
birthday,action_0,high,0,3,Lio and Mitchell ask for a smaller slice or if the cake can be cut into smaller pieces,0
birthday,action_0,high,0,4,Lio eats the part of the slice that Mitchell cannot finish,0
birthday,action_0,high,50,0,Lio and Mitchell share one slice of cake,1
birthday,action_0,high,50,1,Lio eats the whole slice and Mitchell doesn't have any,0
birthday,action_0,high,50,2,Mitchell doesn't eat any cake and Lio eats a whole slice,0
birthday,action_0,high,50,3,Neither Lio nor Mitchell eat any cake,0
birthday,action_0,high,100,0,Lio and Mitchell share one slice of cake,1
birthday,action_0,high,100,1,Lio eats the whole slice and Mitchell doesn't have any,0
birthday,action_0,high,100,2,Mitchell doesn't eat any cake and Lio eats the whole slice,0
birthday,action_0,high,100,3,They ask for a smaller slice or a way to split one,1
birthday,action_0,high,100,4,Neither Lio nor Mitchell eat any cake,0
birthday,action_1,high,0,0,Lio eats the whole slice and Mitchell goes without,0
birthday,action_1,high,0,1,Mitchell eats the whole slice and Lio goes without,0
birthday,action_1,high,0,2,They leave the slice uneaten and walk away,0
birthday,action_1,low,100,0,Lio eats a whole slice by himself,0
birthday,action_1,low,100,1,Mitchell eats a whole slice by himself,0
birthday,action_1,low,100,2,They each get their own slice and eat the whole thing,0
birthday,action_1,low,100,3,They leave the cake untouched and don't eat any,0
birthday,action_1,low,100,4,One person eats most of the slice and the other finishes the remaining part,1
birthday,action_1,low,75,0,each take a full slice and eat alone,0
birthday,action_1,low,75,1,Lio eats a full slice and Mitchell doesn't have any,0
birthday,action_1,low,75,2,Mitchell eats a full slice and Lio doesn't have any,0
birthday,action_1,low,75,3,they decide not to eat the cake at all,0
birthday,action_1,high,100,0,Lio eats the whole slice and Mitchell doesn't have any,0
birthday,action_1,high,100,1,Mitchell eats the whole slice and Lio doesn't have any,0
birthday,action_1,high,100,2,They leave the slice untouched and don't eat any cake,0
birthday,action_1,high,100,3,They cut the slice into smaller portions and take turns eating from the same plate,1
birthday,action_1,high,50,0,Lio eats the whole slice and Mitchell goes without,0
birthday,action_1,high,50,1,Mitchell eats the whole slice and Lio goes without,0
birthday,action_1,high,50,2,They leave the slice uneaten and walk away,0
birthday,action_1,high,50,3,They ask someone else to join them and split the slice three ways,1
birthday,action_2,low,0,0,each take a full slice and eat separately,0
birthday,action_2,low,0,1,take one slice and use an extra fork and plate to divide it in half to eat separately,0
birthday,action_2,low,0,2,Lio eats a full slice while Mitchell does not have any,0
birthday,action_2,low,0,3,Mitchell eats a full slice while Lio does not have any,0
birthday,action_2,low,0,4,they ask for a smaller slice or a different serving option,0
birthday,action_1,high,75,0,Lio eats the whole slice and Mitchell doesn't have any,0
birthday,action_1,high,75,1,Mitchell eats the whole slice and Lio doesn't have any,0
birthday,action_1,high,75,2,They leave the slice uneaten,0
birthday,action_1,high,75,3,They cut the slice into smaller portions and take turns eating from the same plate,1
birthday,action_2,low,75,0,each take a full slice and eat it separately,0
birthday,action_2,low,75,1,pick one person to eat the whole slice,0
birthday,action_2,low,75,2,request an extra fork to share the slice but eat from separate plates,1
birthday,action_2,low,75,3,cut their slice in half and each take half to eat separately,0
birthday,action_2,high,50,0,Lio eats the whole slice by himself,0
birthday,action_2,high,50,1,Mitchell eats the whole slice by himself,0
birthday,action_2,high,50,2,They ask for an extra plate and fork so they can each have half a slice,1
birthday,action_2,high,50,3,One of them eats the slice and the other doesn't have any cake,0
birthday,action_2,high,100,0,Lio eats the whole slice by himself,0
birthday,action_2,high,100,1,Mitchell eats the whole slice by himself,0
birthday,action_2,high,100,2,They ask for an extra plate and fork so they can each have half of the slice,1
birthday,action_2,high,100,3,They decide not to eat the cake at all,0
birthday,action_2,low,100,0,each take a full slice and eat it separately,0
birthday,action_2,low,100,1,share a slice but use two separate forks,1
birthday,action_2,low,100,2,Lio eats a full slice and Mitchell doesn't have any,0
birthday,action_2,low,100,3,Mitchell eats a full slice and Lio doesn't have any,0
birthday,action_2,low,50,0,each take a full slice and eat separately,0
birthday,action_2,low,50,1,Lio eats a full slice and Mitchell doesn't have any,0
birthday,action_2,low,50,2,Mitchell eats a full slice and Lio doesn't have any,0
birthday,action_2,low,50,3,they ask for an extra fork to share the slice,1
birthday,action_2,high,0,0,Lio eats the whole slice by himself,0
birthday,action_2,high,0,1,Mitchell eats the whole slice by himself,0
birthday,action_2,high,0,2,They ask for an extra plate and cut the slice in half to eat separately,0
birthday,action_2,high,0,3,They leave the slice uneaten,0
brunch,action_0,low,50,0,Allison eats the pancakes alone,0
brunch,action_0,low,50,1,They don't order the pancakes at all,0
brunch,action_0,low,50,2,They finish the pancakes together at the restaurant,1
brunch,action_0,low,50,3,Allison takes the remaining pancakes home,0
birthday,action_2,high,75,0,Lio eats the whole slice and Mitchell goes without,0
birthday,action_2,high,75,1,Mitchell eats the whole slice and Lio goes without,0
birthday,action_2,high,75,2,They ask for an extra plate and fork so they can each have half of the slice,1
birthday,action_2,high,75,3,They cut the slice in half and eat their halves separately with the single fork,0
brunch,action_0,low,0,0,Refuse the pancakes and finish the meal without dessert,0
brunch,action_0,low,0,1,Order the pancakes but Dana eats the whole stack by herself,0
brunch,action_0,low,0,2,"Order the pancakes and eat them together, finishing the whole stack",1
brunch,action_0,low,0,3,"Allison eats from the stack and when she gets full, she leaves the remainder on the table",0
brunch,action_0,low,100,0,Allison eats the pancakes alone,0
brunch,action_0,low,100,1,They don't order the pancakes at all,0
brunch,action_0,low,100,2,They finish the pancakes together at the table,1
brunch,action_0,low,100,3,Allison takes the entire stack of pancakes home,0
brunch,action_0,low,75,0,Allison eats the pancakes alone,0
brunch,action_0,low,75,1,They don't order the pancakes at all,0
brunch,action_0,low,75,2,They order the pancakes and Dana lets Allison finish them,1
brunch,action_0,low,75,3,"They finish the pancakes together at the restaurant, not taking any home",1
brunch,action_0,high,0,0,Allison eats the pancakes alone,0
brunch,action_0,high,0,1,They don't order the pancakes at all,0
brunch,action_0,high,0,2,They order the pancakes and Allison eats from the stack,0
brunch,action_0,high,0,3,They order a separate dessert for each person,0
brunch,action_0,high,0,4,They finish their main dishes and decide to share a different dessert,1
brunch,action_1,low,0,0,take turns eating directly from the stack of pancakes,1
brunch,action_1,low,0,1,order a separate stack of pancakes for each person,0
brunch,action_1,low,0,2,decide not to order the pancakes at all,0
brunch,action_1,low,0,3,have one person eat the entire stack of pancakes,0
brunch,action_0,high,100,0,Allison eats the pancakes alone,0
brunch,action_0,high,100,1,"They order the pancakes and eat them together, finishing the whole stack",1
brunch,action_0,high,100,2,They decide not to order the pancakes at all,0
brunch,action_0,high,100,3,Allison takes the whole stack of pancakes home without eating any at the restaurant,0
brunch,action_1,high,0,0,"pass the stack of pancakes back and forth, taking turns eating directly from it",1
brunch,action_1,high,0,1,decide not to order the pancakes at all,0
brunch,action_1,high,0,2,have one person eat the entire stack of pancakes,0
brunch,action_1,high,0,3,order separate stacks of pancakes for each person,0
brunch,action_1,high,50,0,eat directly from the shared pancake stack,1
brunch,action_1,high,50,1,only one person eats the pancakes,0
brunch,action_1,high,50,2,do not get extra utensils and pass the plate of pancakes back and forth,1
brunch,action_1,high,50,3,decide not to order the pancakes after finishing their main dishes,0
brunch,action_1,low,50,0,take turns eating directly from the stack of pancakes,1
brunch,action_1,low,50,1,divide the pancakes and put each person's portion on their own plate before eating,1
brunch,action_1,low,50,2,one person eats the entire stack of pancakes,0
brunch,action_1,low,50,3,do not eat the pancakes at all,0
brunch,action_0,high,75,0,Allison eats the pancakes alone,0
brunch,action_0,high,75,1,They abandon the idea of pancakes and leave the restaurant,0
brunch,action_0,high,75,2,"Allison and Dana eat the pancakes together, finishing the stack",1
brunch,action_0,high,75,3,Allison takes the entire stack of pancakes home without eating any at the restaurant,0
brunch,action_0,high,50,0,Allison eats the pancakes alone,0
brunch,action_0,high,50,1,They decide not to order the pancakes,0
brunch,action_0,high,50,2,They order the pancakes and Allison eats from the stack while Dana does not,0
brunch,action_0,high,50,3,"They eat the pancakes together, finishing the stack at the restaurant",1
brunch,action_1,low,100,0,eat the pancakes directly from the serving plate,1
brunch,action_1,low,100,1,let one person eat the pancakes alone,0
brunch,action_1,low,100,2,not order the pancakes at all,0
brunch,action_1,low,100,3,take turns eating the pancakes one at a time,1
brunch,action_1,high,75,0,take turns eating directly from the shared plate,1
brunch,action_1,high,75,1,cut the stack in half and each eat from their own half,0
brunch,action_1,high,75,2,decide who gets to eat the pancakes and let that person have them all,0
brunch,action_1,high,75,3,leave the pancakes untouched in the center of the table,0
brunch,action_1,high,100,0,eat the pancakes directly from the shared plate,1
brunch,action_1,high,100,1,cut the pancakes into portions and serve them onto individual plates before bringing the plates back to the table,0
brunch,action_1,high,100,2,decide not to order the pancakes after finishing their main dishes,0
brunch,action_1,high,100,3,have one person eat the entire stack of pancakes,0
brunch,action_1,low,75,0,eat the pancakes directly from the serving plate,1
brunch,action_1,low,75,1,divide the pancakes and put each person's portion on a separate plate before eating,0
brunch,action_1,low,75,2,let one person eat the pancakes while the other does not,0
brunch,action_1,low,75,3,decide not to order the pancakes after all,0
brunch,action_2,low,0,0,ask for additional utensils from the box to eat from the shared stack,1
brunch,action_2,low,0,1,take turns eating from the shared stack using one utensil,1
brunch,action_2,low,0,2,divide the shared stack into two portions and eat separately,0
brunch,action_2,low,0,3,decide not to eat from the shared stack,0
brunch,action_2,high,50,0,use clean utensils from the station to eat the pancakes,1
brunch,action_2,high,50,1,take a portion of pancakes onto their own plates to eat separately,0
brunch,action_2,high,50,2,decide not to order the pancakes,0
brunch,action_2,high,50,3,have one person eat the pancakes while the other does not,0
brunch,action_2,low,50,0,use clean utensils from the box to eat from the stack,1
brunch,action_2,low,50,1,order separate stacks of pancakes,0
brunch,action_2,low,50,2,decide not to order pancakes at all,0
brunch,action_2,low,50,3,take turns eating from the stack with one person serving the other,1
brunch,action_2,low,75,0,use a clean utensil from the box to serve themselves,0
brunch,action_2,low,75,1,ask the server for extra plates and serve the pancakes individually,0
brunch,action_2,low,75,2,take turns eating from the stack using a single clean utensil,1
brunch,action_2,low,75,3,decide not to eat the pancakes at all,0
brunch,action_2,high,100,0,get extra utensils from the station to eat from the shared stack,1
brunch,action_2,high,100,1,order separate stacks of pancakes,0
brunch,action_2,high,100,2,decide one person will eat the entire stack of pancakes,0
brunch,action_2,high,100,3,not order the pancakes at all,0
brunch,action_2,low,100,0,use clean utensils from the box to eat from the shared stack,1
brunch,action_2,low,100,1,order separate stacks of pancakes,0
brunch,action_2,low,100,2,decide not to order pancakes at all,0
brunch,action_2,low,100,3,take turns eating from the shared stack with one utensil,1
brunch,action_2,high,75,0,get extra utensils from the station to eat the pancakes,1
brunch,action_2,high,75,1,take turns eating the pancakes with one set of utensils,1
brunch,action_2,high,75,2,one person eats the pancakes alone,0
brunch,action_2,high,75,3,do not eat the pancakes,0
brunch,action_2,high,0,0,get extra utensils from the station,1
brunch,action_2,high,0,1,take turns eating from the stack with one person's utensils,1
brunch,action_2,high,0,2,divide the stack into two separate portions,0
brunch,action_2,high,0,3,decide not to eat the pancakes,0
takeout,action_0,low,0,0,"Elizabeth dips from the honey mustard sauce container, while Emily uses the ketchup packets",0
takeout,action_0,low,0,1,They pour the honey mustard sauce into extra containers to divide it between them,1
takeout,action_0,low,0,2,They take turns dipping from the honey mustard sauce container,1
takeout,action_0,low,75,0,Emily and Elizabeth pour the honey mustard sauce into extra containers to share,1
takeout,action_0,low,75,1,Elizabeth uses the honey mustard sauce and Emily uses the ketchup packets,0
takeout,action_0,low,75,2,They decide not to use any sauce,0
takeout,action_0,low,75,3,They order additional honey mustard sauce from the restaurant,0
takeout,action_0,high,0,0,go downstairs to get extra sauce containers,1
takeout,action_0,high,0,1,ask the hotel for a plate or surface to pour the sauce onto,1
takeout,action_0,high,0,2,Elizabeth uses the honey mustard sauce and Emily uses the ketchup packets,0
takeout,action_0,high,0,3,neither of them use the honey mustard sauce,0
takeout,action_0,low,100,0,Emily and Elizabeth pour the honey mustard sauce into the extra containers to divide it evenly between them,1
takeout,action_0,low,100,1,Elizabeth dips from the honey mustard sauce container and Emily uses the ketchup packets,0
takeout,action_0,low,100,2,They put the honey mustard sauce aside and both use the ketchup packets,0
takeout,action_0,low,100,3,They take turns dipping from the honey mustard sauce container,1
takeout,action_0,high,50,0,go downstairs to the hotel restaurant to get extra sauce containers,1
takeout,action_0,high,50,1,pour the honey mustard sauce onto a surface to divide it,1
takeout,action_0,high,50,2,Elizabeth uses no sauce,0
takeout,action_0,high,50,3,Emily gives the honey mustard sauce to Elizabeth,0
takeout,action_0,low,50,0,Emily pours the honey mustard sauce into extra containers to divide it between them,1
takeout,action_0,low,50,1,Elizabeth uses the honey mustard sauce and Emily uses the ketchup packets,0
takeout,action_0,low,50,2,They put the honey mustard sauce aside and both use the ketchup packets,0
takeout,action_0,low,50,3,They take turns dipping from the honey mustard sauce container,1
takeout,action_1,low,0,0,use the ketchup packets as a dipping sauce instead,0
takeout,action_1,low,0,1,take turns dipping into the single container of honey mustard,1
takeout,action_1,low,0,2,one person uses the honey mustard and the other uses a ketchup packet,0
takeout,action_1,low,0,3,ask the hotel or restaurant for an additional container of honey mustard,0
takeout,action_0,high,75,0,go downstairs to get extra sauce containers,1
takeout,action_0,high,75,1,take turns dipping in the honey mustard sauce,1
takeout,action_0,high,75,2,Emily gives the honey mustard sauce to Elizabeth,0
takeout,action_0,high,75,3,Elizabeth gives the ketchup packets to Emily and they both use the honey mustard sauce,0
takeout,action_0,high,100,0,go downstairs to get extra sauce containers so they can each have honey mustard sauce,0
takeout,action_0,high,100,1,share the honey mustard sauce by taking turns dipping,1
takeout,action_0,high,100,2,pour the honey mustard sauce onto a plate or other surface to divide it,1
takeout,action_0,high,100,3,Emily gives the honey mustard sauce to Elizabeth,0
takeout,action_0,high,100,4,Elizabeth gives the ketchup packets to Emily and takes the honey mustard sauce,0
takeout,action_1,low,100,0,use the ketchup packets as a dipping sauce instead,1
takeout,action_1,low,100,1,take turns dipping into the single container of honey mustard,1
takeout,action_1,low,100,2,one person uses the honey mustard and the other uses ketchup,0
takeout,action_1,low,75,0,Use the ketchup packets as a dipping sauce instead,0
takeout,action_1,low,75,1,Take turns dipping into the single container of honey mustard,1
takeout,action_1,low,75,2,One person uses the honey mustard and the other uses ketchup,0
takeout,action_1,low,75,3,Order another container of honey mustard from the restaurant,0
takeout,action_1,low,50,0,take turns dipping from the original container,1
takeout,action_1,low,50,1,one person uses the honey mustard and the other uses ketchup,0
takeout,action_1,low,50,2,order another container of honey mustard from the restaurant,0
takeout,action_1,low,50,3,use the honey mustard container back and forth without pouring into separate containers,1
takeout,action_1,high,50,0,take turns dipping into the single container of honey mustard,1
takeout,action_1,high,50,1,one person uses the honey mustard and the other uses ketchup,0
takeout,action_1,high,50,2,go to the hotel restaurant to get extra sauce containers and then share the honey mustard between them,1
takeout,action_1,high,50,3,one person gets extra sauce from the hotel restaurant while the other waits,0
takeout,action_1,high,50,4,use the ketchup packets as a dipping sauce for both,1
takeout,action_2,low,0,0,use the ketchup packets instead of the honey mustard,0
takeout,action_2,low,0,1,pour the honey mustard into extra containers to divide it,1
takeout,action_2,low,0,2,one person uses the honey mustard and the other uses ketchup,0
takeout,action_2,low,0,3,ask the hotel or restaurant for an additional honey mustard container,0
takeout,action_2,low,0,4,refuse to use the honey mustard to avoid double dipping,0
takeout,action_2,low,100,0,use the extra containers to divide the honey mustard sauce,1
takeout,action_2,low,100,1,use the ketchup packets as a substitute for honey mustard,1
takeout,action_2,low,100,2,one person uses the honey mustard sauce and the other uses ketchup,0
takeout,action_2,low,100,3,they decide not to use any sauce,0
takeout,action_2,low,75,0,use the extra containers to divide the honey mustard sauce,1
takeout,action_2,low,75,1,Emily uses the honey mustard sauce and Elizabeth uses ketchup,0
takeout,action_2,low,75,2,Elizabeth uses the honey mustard sauce and Emily uses ketchup,0
takeout,action_2,low,75,3,they decide to use ketchup packets for both of their chicken tenders,1
takeout,action_1,high,100,0,take turns dipping into the single container of honey mustard,1
takeout,action_1,high,100,1,one person uses the honey mustard and the other uses ketchup,0
takeout,action_1,high,100,2,go downstairs to get extra sauce containers and both use the honey mustard,1
takeout,action_1,high,100,3,use the ketchup packets as a dipping sauce for both,1
takeout,action_2,low,50,0,use the extra sauce containers to divide the honey mustard sauce,1
takeout,action_2,low,50,1,use the ketchup packets as a dipping sauce instead,1
takeout,action_2,low,50,2,flip a coin to decide who gets to use the honey mustard sauce,0
takeout,action_2,low,50,3,Emily uses the honey mustard sauce and Elizabeth uses the ketchup packets,0
takeout,action_2,low,50,4,Elizabeth uses the honey mustard sauce and Emily uses the ketchup packets,0
takeout,action_2,high,0,0,"take turns using the honey mustard sauce, with one person dipping all their tenders first and then the other",0
takeout,action_2,high,0,1,use the ketchup packets as a dipping sauce instead,1
takeout,action_2,high,0,2,go downstairs to the hotel restaurant to get extra sauce containers,1
takeout,action_2,high,0,3,decide that one person gets to use the honey mustard sauce and the other uses ketchup,0
takeout,action_2,high,100,0,use the ketchup packets as a dipping sauce instead,1
takeout,action_2,high,100,1,go downstairs to get extra sauce containers,1
takeout,action_2,high,100,2,Emily uses the honey mustard and Elizabeth uses the ketchup packets,0
takeout,action_2,high,100,3,Elizabeth uses the honey mustard and Emily uses the ketchup packets,0
takeout,action_2,high,100,4,they decide not to use any dipping sauce,1
takeout,action_1,high,0,0,use the ketchup packets as a dipping sauce instead,0
takeout,action_1,high,0,1,take turns dipping their chicken tenders in the single container of honey mustard,1
takeout,action_1,high,0,2,one person uses the honey mustard and the other uses the ketchup packets,0
takeout,action_1,high,0,3,go downstairs to the hotel restaurant to ask for an additional container of honey mustard,0
takeout,action_1,high,0,4,decide not to use any dipping sauce,0
cooking,action_0,low,50,0,Liana and Serina share the pasta,1
cooking,action_0,low,50,1,Serina eats the pasta while Liana eats a salad,0
cooking,action_0,low,50,2,They order or prepare a different meal that they both eat together,1
cooking,action_0,low,50,3,"Neither of them eats, focusing on the TV show",0
takeout,action_1,high,75,0,"use the single container of honey mustard together, taking turns dipping",1
takeout,action_1,high,75,1,use ketchup packets as a dipping sauce instead,0
takeout,action_1,high,75,2,"go downstairs to get an extra sauce container so one person can have the original, and the other can use a new one if they go buy more sauce",0
takeout,action_1,high,75,3,"decide one person gets to use the honey mustard, and the other uses ketchup",0
cooking,action_0,low,0,0,Liana and Serina share the pasta and salad,1
cooking,action_0,low,0,1,They decide to eat in separate rooms,0
cooking,action_0,low,0,2,Serina eats the pasta and Liana eats a salad together in the living room,0
cooking,action_0,low,0,3,They put the pasta and salad in the center of the table and serve themselves,1
takeout,action_2,high,50,0,"take turns using the honey mustard sauce, with one person dipping all their chicken tenders first, then the other",0
takeout,action_2,high,50,1,use the ketchup packets as a dipping sauce instead,1
takeout,action_2,high,50,2,go downstairs to the hotel restaurant to get extra sauce containers,1
takeout,action_2,high,50,3,Emily uses the honey mustard sauce and Elizabeth uses the ketchup packets,0
takeout,action_2,high,50,4,Elizabeth uses the honey mustard sauce and Emily uses the ketchup packets,0
