scenario_label,observed_action,motivation,alt_idx,action_text,is_share
birthday,action_0,high,2,Mitchell eats a whole slice by himself,0
birthday,action_0,high,3,Lio eats a whole slice by herself,0
birthday,action_0,high,4,Lio and Mitchell take turns biting from the same slice of cake,1
birthday,action_0,high,5,Lio and Mitchell use the same fork to take bites from a single slice of cake,1
birthday,action_0,high,6,Lio and Mitchell cut a single slice into smaller pieces and take turns picking up pieces with their fingers to eat,1
birthday,action_0,high,7,"Mitchell gives his slice to Lio, and she eats as much as she can",0
birthday,action_0,high,8,Lio and Mitchell decide not to eat the cake at all and throw the slices away,0
birthday,action_0,high,9,"Lio cuts a slice into smaller portions and gives some to Mitchell, but they both eat from their own separate portions",1
birthday,action_1,low,0,Lio lets Mitchell have the whole slice,0
birthday,action_1,low,1,Mitchell lets Lio have the whole slice,0
birthday,action_1,low,2,They decide not to eat the cake at all,0
birthday,action_1,low,3,Lio and Mitchell take turns biting into the same slice,1
birthday,action_1,low,4,They cut the slice into smaller pieces and take turns picking one up with their fork,1
birthday,action_1,low,5,Lio and Mitchell use the same fork to pick up different parts of the slice,1
birthday,action_1,low,6,They tear the slice in half with their hands and eat their respective halves,1
birthday,action_1,low,7,One person cuts off a small piece and hands it to the other,1
birthday,action_1,low,8,They divide the slice into quarters and each eat two quarters,1
birthday,action_1,high,0,Lio eats the whole slice by himself,0
birthday,action_1,high,1,Mitchell eats the whole slice by himself,0
birthday,action_1,high,2,They decide not to eat the cake at all,0
birthday,action_1,high,3,Lio and Mitchell take turns biting into the same slice,1
birthday,action_1,high,4,They cut the slice into small pieces and feed each other,1
birthday,action_1,high,5,Lio and Mitchell use the same fork to take bites of the slice,1
birthday,action_1,high,6,One person cuts the slice into quarters and they take turns picking up a quarter with their fingers,1
birthday,action_1,high,7,Lio eats three-quarters of the slice and gives the last quarter to Mitchell,1
birthday,action_1,high,8,They ask for a second slice to be cut in half so each can have a full half slice,0
birthday,action_2,low,0,Lio eats the whole slice by himself,0
birthday,action_2,low,1,Mitchell eats the whole slice by himself,0
birthday,action_2,low,2,They cut the slice in half and each eats their own portion,1
birthday,action_2,low,3,Lio and Mitchell take turns biting from the same piece of cake,1
birthday,action_2,low,4,They decide not to eat the cake at all,0
birthday,action_2,low,5,"Lio gives his slice to Mitchell, who eats the whole thing",0
birthday,action_2,low,6,"Mitchell gives his slice to Lio, who eats the whole thing",0
birthday,action_2,low,7,They use one fork to feed each other bites of the cake,1
birthday,action_2,low,8,Lio and Mitchell double dip their forks into the raspberry sauce,1
birthday,action_2,high,0,Lio eats one slice alone,0
birthday,action_2,high,1,Mitchell eats one slice alone,0
birthday,action_2,high,2,They each get their own slice and eat separately,0
birthday,action_2,high,3,Lio and Mitchell cut one slice in half and eat their respective halves,1
birthday,action_2,high,4,They take one slice and use a single fork to take turns eating from it,1
birthday,action_2,high,5,Lio and Mitchell both bite from the same part of the slice without using forks,1
birthday,action_2,high,6,One person eats the whole slice and the other person doesn't eat any cake,0
birthday,action_2,high,7,They decide not to eat the cake at all and leave the slices on the plates,0
birthday,action_2,high,8,"Lio and Mitchell ask for a smaller slice to share, then eat it together from the same plate with their own forks",1
birthday,action_2,high,9,They double dip their forks into the raspberry sauce on the plate while eating their own separate slices,1
birthday,action_3,low,0,Lio eats a whole slice by himself,0
birthday,action_3,low,1,Mitchell eats a whole slice by himself,0
birthday,action_3,low,2,They each get their own slice and eat separately,0
birthday,action_3,low,3,Lio and Mitchell cut the slice in half and eat their halves with separate forks,1
birthday,action_3,low,4,"Lio gives his slice to Mitchell, who eats the whole thing",0
birthday,action_3,low,5,"Mitchell gives his slice to Lio, who eats the whole thing",0
birthday,action_3,low,6,They decide not to eat the cake at all and throw it away,0
birthday,action_3,low,7,Lio and Mitchell take turns biting from the same piece of cake,1
birthday,action_3,low,8,Lio and Mitchell use their fingers to break the slice into smaller pieces and eat together,1
birthday,action_3,low,9,They ask for an extra fork so they can split the slice but still eat from the same plate with their own utensils,1
birthday,action_3,high,0,Lio eats the whole slice by himself,0
birthday,action_3,high,1,Mitchell eats the whole slice by himself,0
birthday,action_3,high,2,They ask for an extra fork and eat from the same slice on the same plate without sharing utensils,1
birthday,action_3,high,3,They cut the slice in half and each eat their own portion with separate forks,1
birthday,action_3,high,4,Lio cuts a small piece from the slice and gives the rest to Mitchell,0
birthday,action_3,high,5,Mitchell cuts a small piece from the slice and gives the rest to Lio,0
birthday,action_3,high,6,They decide not to eat the cake at all,0
birthday,action_3,high,7,Lio and Mitchell take turns biting from the same piece of cake,1
birthday,action_3,high,8,They request two separate slices and eat their own slices independently,0
birthday,action_3,high,9,One of them eats a small portion and then hands the remainder to the other to finish,1
brunch,action_0,low,0,Dana eats the whole stack of pancakes by herself,0
brunch,action_0,low,1,Allison and Dana take turns biting from the same pancake,1
brunch,action_0,low,2,They cut the stack of pancakes in half and each eat their own half,1
brunch,action_0,low,3,Allison and Dana use separate utensils to eat from the same stack of pancakes,1
brunch,action_0,low,4,Neither of them order the pancakes,0
brunch,action_0,low,5,Allison eats one pancake and then Dana eats the rest,1
brunch,action_0,low,6,"They decide to order a smaller dessert to share, such as a single piece of cake",1
brunch,action_0,low,7,Allison eats the whole stack of pancakes and Dana doesn't have any,0
brunch,action_0,low,8,They ask for individual pancakes instead of a stack to share,0
brunch,action_0,low,9,Allison and Dana double dip their utensils into the same syrup and butter to eat their own separate pancakes,1
brunch,action_0,high,0,Allison eats the entire stack of pancakes by herself,0
brunch,action_0,high,1,Dana eats the entire stack of pancakes by herself,0
brunch,action_0,high,2,They cut the stack of pancakes in half and each eat their own half,1
brunch,action_0,high,3,They take turns biting into the same pancake,1
brunch,action_0,high,4,Allison and Dana use separate utensils to eat from the same stack of pancakes,1
brunch,action_0,high,5,They decide not to order the pancakes at all,0
brunch,action_0,high,6,"One person orders the pancakes and the other does not, with no sharing",0
brunch,action_0,high,7,They double dip into syrup or other toppings,1
brunch,action_0,high,8,Allison and Dana eat from opposite sides of the same pancake,1
brunch,action_1,low,0,Allison lets Dana eat the pancakes alone,0
brunch,action_1,low,1,They don't order the pancakes at all,0
brunch,action_1,low,2,"They order the pancakes, but Dana eats the whole stack by herself",0
brunch,action_1,low,3,They double dip into the pancake stack using their own forks,1
brunch,action_1,low,4,They tear the pancakes into pieces by hand and eat from the same stack,1
brunch,action_1,low,5,"Allison eats a few bites of pancake from the stack, then hands it to Dana to finish",1
brunch,action_1,low,6,They ask for an extra plate and serve themselves portions of pancakes from the stack,1
brunch,action_1,low,7,"Dana cuts the pancakes and serves Allison a portion, then serves herself",1
brunch,action_1,low,8,They take turns biting into the same pancake,1
brunch,action_1,high,0,Allison eats the entire pancake stack alone,0
brunch,action_1,high,1,Dana eats the entire pancake stack alone,0
brunch,action_1,high,2,They decide not to order the pancakes,0
brunch,action_1,high,3,They take turns biting into the same pancake,1
brunch,action_1,high,4,They use their own forks to double dip into the pancake stack,1
brunch,action_1,high,5,One person cuts the pancakes and serves the other,1
brunch,action_1,high,6,"They ordered two separate pancake stacks, one for each person",0
brunch,action_1,high,7,"They eat the pancakes directly from the serving plate, using their own forks",1
brunch,action_2,low,0,Allison orders the pancakes and eats them alone,0
brunch,action_2,low,1,Dana orders the pancakes and eats them alone,0
brunch,action_2,low,2,They decide not to order the pancakes,0
brunch,action_2,low,3,"They order the pancakes, but have the restaurant split the order into two separate stacks",0
brunch,action_2,low,4,They cut the pancake stack in half and each take a half to their own plate,1
brunch,action_2,low,5,They use a single serving utensil to cut and serve slices to each other,1
brunch,action_2,low,6,They take turns biting into the same pancake from the stack,1
brunch,action_2,low,7,Dana eats the pancakes and Allison doesn't have any,0
brunch,action_2,low,8,Allison and Dana double dip their forks into the syrup and butter on the table,1
brunch,action_2,low,9,They tear the pancakes into pieces and eat from the same plate,1
brunch,action_2,high,0,Allison orders the pancakes and eats them alone,0
brunch,action_2,high,1,Dana orders the pancakes and eats them alone,0
brunch,action_2,high,2,They decide not to order the pancakes,0
brunch,action_2,high,3,They order the pancakes and take turns biting into the stack,1
brunch,action_2,high,4,One person cuts the entire stack into halves and they each take a half,1
brunch,action_2,high,5,They use a single serving utensil to cut and serve slices to their own plates,1
brunch,action_2,high,6,They double dip their utensils into the syrup and butter provided for the pancakes,1
brunch,action_2,high,7,One person eats a few bites of the pancakes and then hands the rest to the other,1
brunch,action_2,high,8,They tear the pancakes into pieces by hand and eat them together,1
brunch,action_3,low,0,Allison eats the pancakes alone,0
brunch,action_3,low,1,Dana eats the pancakes alone,0
brunch,action_3,low,2,They don't order the pancakes,0
brunch,action_3,low,3,They order the pancakes and cut them into separate portions on separate plates,1
brunch,action_3,low,4,Allison and Dana take turns biting from the same pancake,1
brunch,action_3,low,5,They use a serving utensil to put a portion of pancakes on each of their own plates,1
brunch,action_3,low,6,One person cuts the pancakes into bite-sized pieces and they take turns picking up pieces with their fingers,1
brunch,action_3,low,7,They double dip their utensils into syrup or butter on the table,1
brunch,action_3,low,8,"Allison and Dana eat from opposite sides of the same pancake, meeting in the middle",1
brunch,action_3,high,0,Each orders their own separate stack of pancakes,0
brunch,action_3,high,1,One person orders the pancakes and eats the whole thing alone,0
brunch,action_3,high,2,They decide not to order the pancakes at all,0
brunch,action_3,high,3,"They order the pancakes, but have the server divide them onto two separate plates",1
brunch,action_3,high,4,They cut the stack of pancakes into two separate portions on the same plate,1
brunch,action_3,high,5,"One person eats a pancake, then hands the rest to the other person",1
brunch,action_3,high,6,They use a single serving utensil to take turns eating from the stack of pancakes,1
brunch,action_3,high,7,"They take bites from the same pancake, passing it back and forth",1
brunch,action_3,high,8,One person tears a pancake in half and they each eat a half,1
takeout,action_0,low,0,Elizabeth gives the honey mustard sauce to Emily and only uses ketchup packets herself,0
takeout,action_0,low,1,Emily and Elizabeth take turns dipping their chicken tenders in the honey mustard sauce,1
takeout,action_0,low,2,They pour the honey mustard sauce onto a plate and both dip from the plate,1
takeout,action_0,low,3,"Emily and Elizabeth cut their chicken tenders in half and share one half with each other, using the honey mustard sauce on their own halves",1
takeout,action_0,low,4,They decide not to use the honey mustard sauce and both use ketchup packets instead,0
takeout,action_0,low,5,Elizabeth dips her chicken tender into the honey mustard sauce and then hands it to Emily to take a bite,1
takeout,action_0,low,6,"They throw away the honey mustard sauce and the chicken tenders, opting not to eat",0
takeout,action_0,low,7,Emily and Elizabeth divide the honey mustard sauce into two smaller containers and use their own,1
takeout,action_0,low,8,One of them eats the chicken tenders without any sauce,0
takeout,action_0,high,0,Emily and Elizabeth take turns dipping their chicken tenders in the honey mustard sauce,1
takeout,action_0,high,1,"They cut the chicken tenders in half and share, with both using the honey mustard sauce",1
takeout,action_0,high,2,"Emily gives the honey mustard sauce to Elizabeth, who uses it all",0
takeout,action_0,high,3,"Elizabeth gives the honey mustard sauce to Emily, who uses it all",0
takeout,action_0,high,4,"They pour the honey mustard sauce into two separate containers, using it to dip their chicken tenders individually",1
takeout,action_0,high,5,They decide not to use the honey mustard sauce and both use the ketchup packets instead,1
takeout,action_0,high,6,"They double dip from the honey mustard sauce container, alternating bites",1
takeout,action_0,high,7,"One person bites a chicken tender and then hands it to the other to take a bite, using the honey mustard sauce",1
takeout,action_0,high,8,They throw away the food and do not eat,0
takeout,action_1,low,0,Emily uses the honey mustard sauce and Elizabeth uses the ketchup packets,0
takeout,action_1,low,1,Elizabeth uses the honey mustard sauce and Emily uses the ketchup packets,0
takeout,action_1,low,2,They take turns dipping their chicken tenders in the same honey mustard sauce,1
takeout,action_1,low,3,They double dip from the same honey mustard sauce container,1
takeout,action_1,low,4,Emily eats all the chicken tenders with the honey mustard sauce and Elizabeth eats none,0
takeout,action_1,low,5,Elizabeth eats all the chicken tenders with the honey mustard sauce and Emily eats none,0
takeout,action_1,low,6,They decide not to use the honey mustard sauce and both use the ketchup packets,1
takeout,action_1,low,7,They cut their chicken tenders in half and each pair their half with a separate ketchup packet,1
takeout,action_1,low,8,One person bites a chicken tender and then hands it to the other to take a bite,1
takeout,action_1,high,0,Emily uses the honey mustard sauce and Elizabeth uses ketchup,0
takeout,action_1,high,1,Elizabeth uses the honey mustard sauce and Emily uses ketchup,0
takeout,action_1,high,2,They take turns dipping their tenders in the honey mustard sauce,1
takeout,action_1,high,3,They double dip their tenders in the honey mustard sauce,1
takeout,action_1,high,4,Emily eats all the chicken tenders with the honey mustard sauce and Elizabeth eats none,0
takeout,action_1,high,5,Elizabeth eats all the chicken tenders with the honey mustard sauce and Emily eats none,0
takeout,action_1,high,6,"They cut the chicken tenders in half and share, using the honey mustard sauce together",1
takeout,action_1,high,7,"They decide not to use the honey mustard sauce and throw it away, using ketchup instead",1
takeout,action_1,high,8,"One person gives the honey mustard sauce to the other, who uses it all",0
takeout,action_2,low,0,Elizabeth uses the honey mustard and Emily uses ketchup,0
takeout,action_2,low,1,Emily uses the honey mustard and Elizabeth uses ketchup,0
takeout,action_2,low,2,They pour the honey mustard into two separate smaller containers to use individually,1
takeout,action_2,low,3,"One person gives the honey mustard to the other, who uses it all",0
takeout,action_2,low,4,"They take turns dipping their chicken tenders into the honey mustard, but wipe the container with a napkin between turns",1
takeout,action_2,low,5,"They cut their chicken tenders into bite-sized pieces and then divide the pieces between them, with each using their preferred dipping sauce",1
takeout,action_2,low,6,They order another container of honey mustard from the restaurant,1
takeout,action_2,low,7,They decide not to use the honey mustard and just eat the chicken tenders plain,1
takeout,action_2,low,8,"One person eats their chicken tenders first, then the other person uses the honey mustard",0
takeout,action_2,low,9,They throw away the chicken tenders and order something else from a different restaurant,0
takeout,action_2,high,0,Emily uses the honey mustard sauce and Elizabeth uses ketchup packets,0
takeout,action_2,high,1,Elizabeth uses the honey mustard sauce and Emily uses ketchup packets,0
takeout,action_2,high,2,They decide not to use any sauce and just eat the chicken tenders plain,1
takeout,action_2,high,3,They cut the chicken tenders into smaller portions and take turns dipping into the honey mustard sauce,1
takeout,action_2,high,4,One person eats all the chicken tenders with the honey mustard sauce and the other eats none,0
takeout,action_2,high,5,They use the ketchup packets and leave the honey mustard sauce untouched,1
takeout,action_2,high,6,They pour the honey mustard sauce into two separate containers to use individually,1
takeout,action_2,high,7,"They take bites from the same chicken tender, passing it back and forth",1
takeout,action_2,high,8,They divide the chicken tenders in half and each use the honey mustard sauce on their own portion without double dipping,1
takeout,action_3,low,0,cut the chicken tenders into separate portions and use the honey mustard sauce and ketchup packets individually,1
takeout,action_3,low,1,"use the ketchup packets only, avoiding the single honey mustard sauce",1
takeout,action_3,low,2,Elizabeth uses the honey mustard sauce and gives all the ketchup packets to Emily,0
takeout,action_3,low,3,Emily uses the honey mustard sauce and Elizabeth uses the ketchup packets,0
takeout,action_3,low,4,they take turns dipping separate chicken tenders into the honey mustard sauce,1
takeout,action_3,low,5,double dip separate chicken tenders into the honey mustard sauce,1
takeout,action_3,low,6,"one person eats all the chicken tenders with the honey mustard sauce, the other eats none",0
takeout,action_3,low,7,they throw away the food due to the limited dipping sauce,0
takeout,action_3,low,8,they order additional dipping sauce from another place,1
takeout,action_3,high,0,cut the chicken tenders into separate portions and use the honey mustard sauce individually,1
takeout,action_3,high,1,use the ketchup packets instead of the honey mustard sauce,1
takeout,action_3,high,2,"Emily eats all the chicken tenders with the honey mustard sauce, Elizabeth uses ketchup",0
takeout,action_3,high,3,"Elizabeth eats all the chicken tenders with the honey mustard sauce, Emily uses ketchup",0
takeout,action_3,high,4,they decide not to eat the chicken tenders due to the sauce issue,0
takeout,action_3,high,5,alternate dipping their own chicken tenders in the honey mustard sauce,1
takeout,action_3,high,6,double dip their own chicken tenders in the honey mustard sauce without sharing a tender,1
takeout,action_3,high,7,"one person eats a few chicken tenders, then gives the rest to the other person, including the honey mustard sauce",1
takeout,action_3,high,8,they request the delivery place to bring more honey mustard sauce,1
cooking,action_0,low,0,"Liana and Serina both eat the pasta, taking turns biting from the same fork",1
cooking,action_0,low,1,They cut the pasta into two separate portions and eat from their own plates,1
cooking,action_0,low,2,Liana eats the pasta while Serina doesn't eat anything,0
cooking,action_0,low,3,"Serina gives her salad to Liana and they both eat the salad, but not the pasta",1
cooking,action_0,low,4,Liana and Serina dip separate forks into the same pasta dish to eat,1
cooking,action_0,low,5,"They decide not to eat either the pasta or the salad, and order takeout instead",0
cooking,action_0,low,6,"Liana and Serina eat the pasta together, but use separate serving spoons to serve themselves",1
cooking,action_0,low,7,Serina eats the pasta and Liana eats her salad,0
cooking,action_0,low,8,Liana and Serina double dip chips into a shared pasta sauce,1
cooking,action_0,high,0,Liana and Serina sit together and eat from separate portions of the pasta,1
cooking,action_0,high,1,They take turns biting from the same pasta dish,1
cooking,action_0,high,2,Liana eats the entire pasta by herself,0
cooking,action_0,high,3,Serina eats the entire pasta by herself,0
cooking,action_0,high,4,They cut the pasta into bite-sized pieces and take turns picking one up with their forks,1
cooking,action_0,high,5,"Liana and Serina use the same fork to eat the pasta, passing it back and forth",1
cooking,action_0,high,6,"Neither of them eats the pasta, they decide to save it for later",0
cooking,action_0,high,7,They make two separate plates of pasta and eat from their own plates,1
cooking,action_0,high,8,"Liana gives her portion to Serina, who eats the entire pasta",0
cooking,action_0,high,9,Liana and Serina double dip their forks into the same pasta dish,1
cooking,action_1,low,0,Liana eats the entire pasta by herself,0
cooking,action_1,low,1,Serina gives her portion to Liana and doesn't eat any,0
cooking,action_1,low,2,They throw the pasta away and order takeout instead,0
cooking,action_1,low,3,They divide the pasta into two equal portions and eat from separate pots,1
cooking,action_1,low,4,Liana and Serina take turns eating from the same plate,1
cooking,action_1,low,5,They use separate serving utensils to serve themselves,1
cooking,action_1,low,6,"Liana and Serina eat pasta from the same plate with their own forks, but don't use a serving utensil",1
cooking,action_1,low,7,"Serina doesn't eat, but Liana eats the entire pasta using the shared serving utensil and her own fork",0
cooking,action_1,low,8,Liana and Serina double dip their forks into the pasta pot,1
cooking,action_1,low,9,Liana and Serina eat from the same fork,1
cooking,action_1,high,0,Liana and Serina each get their own portion of pasta and do not offer any to the other,0
cooking,action_1,high,1,"One person eats the entire pasta dish by themselves, not sharing with the other",0
cooking,action_1,high,2,They refuse to eat the pasta and throw it away,0
cooking,action_1,high,3,"Liana serves the entire pasta dish onto Serina's plate, and Serina eats it all",0
cooking,action_1,high,4,They divide the pasta into two equal portions using separate serving utensils,1
cooking,action_1,high,5,They use a single fork to take turns eating directly from the pot,1
cooking,action_1,high,6,"Liana and Serina cut a long pasta strand in half and both bite from their end, meeting in the middle",1
cooking,action_1,high,7,"They eat from the same plate, using their own forks but double dipping into the same sauces",1
cooking,action_1,high,8,One person feeds the other by taking pasta from the pot and putting it directly into their mouth,1
cooking,action_2,low,0,Serve the pasta onto one large platter and eat directly from it using their own forks,1
cooking,action_2,low,1,"Cut the pasta into individual portions before serving, so each person gets their own separate portion",1
cooking,action_2,low,2,Use a serving spoon to portion out the pasta onto individual plates,1
cooking,action_2,low,3,"Liana eats the entire pasta by herself, while Serina doesn't eat any",0
cooking,action_2,low,4,"Serina gives her portion to Liana, who eats the entire pasta",0
cooking,action_2,low,5,They throw the pasta away and order takeout instead,0
cooking,action_2,low,6,"Take turns biting into the same piece of garlic bread, then serve the pasta onto individual plates",1
cooking,action_2,low,7,Double dip their forks into a shared sauce bowl while eating,1
cooking,action_2,low,8,Feed each other pasta from their individual plates,1
cooking,action_2,low,9,Decide not to eat the pasta at all and watch TV instead,0
cooking,action_2,high,0,"Liana serves the entire pasta onto one large platter, and they eat directly from it with their own forks",1
cooking,action_2,high,1,"One person eats the entire pasta by themselves, while the other cooks something else",0
cooking,action_2,high,2,"They use a serving spoon to portion out individual servings, then eat from their own plates",1
cooking,action_2,high,3,Liana and Serina decide not to eat the pasta and instead order takeout,0
cooking,action_2,high,4,"They cut the pasta into bite-sized pieces and eat from a shared plate, using their fingers",1
cooking,action_2,high,5,"Serina eats the pasta, then offers Liana a bite from her fork",1
cooking,action_2,high,6,"Liana and Serina take turns biting into the same piece of garlic bread, then serve themselves pasta",1
cooking,action_2,high,7,"One person throws the pasta away, deciding it's not worth eating",0
cooking,action_2,high,8,They use a single fork to feed each other pasta,1
cooking,action_2,high,9,Liana and Serina divide the pasta into smaller portions and reheat them in individual microwave-safe containers,1
cooking,action_3,low,0,Liana eats the pasta alone from the pot,0
cooking,action_3,low,1,Liana and Serina divide the pasta into two separate plates and eat from their own plates,1
cooking,action_3,low,2,They throw the pasta away since Serina doesn't want to eat it,0
cooking,action_3,low,3,Liana eats the pasta from a separate plate while Serina doesn't eat any,0
cooking,action_3,low,4,"Serina gives her share to Liana, who eats it all",0
cooking,action_3,low,5,Liana and Serina use separate serving spoons to serve themselves from the pot,1
cooking,action_3,low,6,They decide not to eat the pasta and order takeout instead,0
cooking,action_3,low,7,Liana and Serina take turns biting from the same fork,1
cooking,action_3,low,8,"Liana eats the pasta while Serina watches, then Serina eats something else",0
cooking,action_3,high,0,Each takes a separate portion to the living room,1
cooking,action_3,high,1,Liana eats the entire dish by herself,0
cooking,action_3,high,2,Serina eats the entire dish by herself,0
cooking,action_3,high,3,They decide not to eat the pasta and throw it away,0
cooking,action_3,high,4,Liana and Serina take turns biting from the same forkful of pasta,1
cooking,action_3,high,5,They use a single fork to take turns eating from the pot,1
cooking,action_3,high,6,One person eats the pasta in the kitchen while the other waits in the living room,0
cooking,action_3,high,7,Liana and Serina cut the pasta into individual portions and eat from separate plates,1
cooking,action_3,high,8,They double dip bread into the pasta sauce from the pot,1
apples,action_0,low,0,Haoyu picks a separate apple and they both eat their own,0
apples,action_0,low,1,Camille and Haoyu cut the apple in half and each eat a half,1
apples,action_0,low,2,They decide not to eat the apple and put it back on the tree,0
apples,action_0,low,3,"Camille offers Haoyu a bite of her apple, and Haoyu accepts",1
apples,action_0,low,4,Haoyu picks a separate apple and they take turns biting from each other's apples,1
apples,action_0,low,5,Camille eats the whole apple and then offers to pick another one for Haoyu,0
