scenario_label,effort_condition,action,access_raw,access_raw_std,effort_raw,effort_raw_std,access,effort,n_runs_access,n_runs_effort
apples,high,2,6.0,0.0,0.64,0.27999999999999997,2.0,0.10666666666666666,10,10
dip,low,1,0.0,0.0,1.5,0.0,0.0,0.25,10,10
dip,low,2,6.0,0.0,2.8,0.0,2.0,0.4666666666666666,10,10
dip,high,1,0.0,0.0,5.799999999999999,8.881784197001252e-16,0.0,0.9666666666666665,10,10
dip,high,2,6.0,0.0,1.1999999999999997,2.220446049250313e-16,2.0,0.19999999999999996,10,10
drinks,low,1,0.45,0.15000000000000002,1.5,0.0,0.15,0.25,10,10
drinks,low,2,6.0,0.0,0.26000000000000006,0.12000000000000001,2.0,0.04333333333333334,10,10
drinks,high,1,0.5,0.0,5.799999999999999,8.881784197001252e-16,0.16666666666666666,0.9666666666666665,10,10
drinks,high,2,5.85,0.22912878474779202,0.2,0.0,1.9499999999999997,0.03333333333333333,10,10
driving,low,1,0.1,0.20000000000000004,2.02,0.40693979898751614,0.03333333333333333,0.33666666666666667,10,10
driving,low,2,5.9,0.19999999999999998,0.7,0.24494897427831783,1.9666666666666668,0.11666666666666665,10,10
driving,high,1,0.0,0.0,4.5,0.0,0.0,0.75,10,10
driving,high,2,6.0,0.0,1.2599999999999998,0.18000000000000005,2.0,0.20999999999999996,10,10
fair,low,1,0.5,0.0,4.5,0.0,0.16666666666666666,0.75,10,10
fair,low,2,6.0,0.0,0.5,0.0,2.0,0.08333333333333333,10,10
fair,high,1,1.0599999999999998,0.27999999999999997,4.5,0.0,0.3533333333333333,0.75,10,10
fair,high,2,5.89,0.08306623862918085,0.5,0.0,1.9633333333333332,0.08333333333333333,10,10
gala,low,1,0.0,0.0,1.5,0.0,0.0,0.25,10,10
gala,low,2,6.0,0.0,0.0,0.0,2.0,0.0,10,10
gala,high,1,0.0,0.0,4.65,0.1499999999999999,0.0,0.775,10,10
gala,high,2,6.0,0.0,0.35,0.15,2.0,0.05833333333333333,10,10
hike,low,1,3.0,0.0,1.5,0.0,1.0,0.25,10,10
hike,low,2,6.0,0.0,0.5,0.0,2.0,0.08333333333333333,10,10
hike,high,1,3.0,0.0,4.799999999999999,8.881784197001252e-16,1.0,0.7999999999999998,10,10
hike,high,2,6.0,0.0,1.13,0.21,2.0,0.1883333333333333,10,10
oysters,low,1,0.5,0.0,2.5,0.0,0.16666666666666666,0.41666666666666663,10,10
oysters,low,2,6.0,0.0,0.68,0.1469693845669907,2.0,0.11333333333333334,10,10
oysters,high,1,0.5,0.0,4.799999999999999,8.881784197001252e-16,0.16666666666666666,0.7999999999999998,10,10
oysters,high,2,6.0,0.0,0.2,0.0,2.0,0.03333333333333333,10,10
social,low,1,0.0,0.0,1.5,0.0,0.0,0.25,10,10
social,low,2,6.0,0.0,2.0,0.0,2.0,0.3333333333333333,10,10
social,high,1,0.35,0.22912878474779197,4.5,0.0,0.11666666666666665,0.75,10,10
social,high,2,6.0,0.0,1.0,0.0,2.0,0.16666666666666666,10,10
soup,low,1,0.75,0.75,4.33,0.5100000000000001,0.25,0.7216666666666667,10,10
soup,low,2,5.5,0.0,1.7,0.3,1.8333333333333333,0.2833333333333333,10,10
soup,high,1,0.5,0.0,4.799999999999999,8.881784197001252e-16,0.16666666666666666,0.7999999999999998,10,10
soup,high,2,5.529999999999999,0.08999999999999996,1.1999999999999997,2.220446049250313e-16,1.843333333333333,0.19999999999999996,10,10
wedding,low,1,0.64,0.27999999999999997,2.43,0.20999999999999996,0.21333333333333332,0.405,10,10
wedding,low,2,5.769999999999999,0.08999999999999994,1.3199999999999998,0.530659966456864,1.923333333333333,0.21999999999999997,10,10
wedding,high,1,0.5,0.0,4.799999999999999,8.881784197001252e-16,0.16666666666666666,0.7999999999999998,10,10
wedding,high,2,5.91,0.15779733838059504,1.1999999999999997,2.220446049250313e-16,1.97,0.19999999999999996,10,10
