scenario_label,action,access_raw,access_raw_std,effort_raw,effort_raw_std,access,effort,n_runs_access,n_runs_effort,n_failures_access,n_failures_effort
driving,3,6.0,0.0,0.5,0.0,2.0,0.08333333333333333,10,10,0,0
fair,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
fair,1,0.5,0.0,4.5,0.0,0.16666666666666666,0.75,10,10,0,0
fair,2,4.5,0.0,1.5,0.0,1.5,0.25,10,10,0,0
fair,3,6.0,0.0,2.8,0.0,2.0,0.4666666666666666,10,10,0,0
gala,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
gala,1,2.5,0.0,1.5,0.0,0.8333333333333333,0.25,10,10,0,0
gala,2,4.38,0.27495454169735023,0.5,0.0,1.46,0.08333333333333333,10,10,0,0
gala,3,5.859999999999999,0.09165151389911688,0.0,0.0,1.9533333333333331,0.0,10,10,0,0
hike,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
hike,1,1.5,0.0,2.5,0.0,0.5,0.41666666666666663,10,10,0,0
hike,2,4.200000000000001,8.881784197001252e-16,1.0,0.0,1.4000000000000004,0.16666666666666666,10,10,0,0
hike,3,5.839999999999999,0.08000000000000007,4.0,0.0,1.9466666666666663,0.6666666666666666,10,10,0,0
oysters,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
oysters,1,3.0,0.0,2.5,0.0,1.0,0.41666666666666663,10,10,0,0
oysters,2,2.05,0.15,1.0,0.0,0.6833333333333332,0.16666666666666666,10,10,0,0
oysters,3,6.0,0.0,3.9599999999999995,0.08000000000000007,2.0,0.6599999999999999,10,10,0,0
social,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
social,1,5.539999999999999,0.5199999999999999,2.5,0.0,1.8466666666666662,0.41666666666666663,10,10,0,0
social,2,4.110000000000001,0.21189620100417098,1.0,0.0,1.3700000000000003,0.16666666666666666,10,10,0,0
social,3,6.0,0.0,4.0,0.0,2.0,0.6666666666666666,10,10,0,0
soup,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
soup,1,0.0,0.0,4.4,0.3,0.0,0.7333333333333334,10,10,0,0
soup,2,4.35,0.45,3.84,0.12000000000000012,1.4499999999999997,0.6399999999999999,10,10,0,0
soup,3,6.0,0.0,1.26,0.18000000000000002,2.0,0.21,10,10,0,0
wedding,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
wedding,1,2.5,0.0,2.5,0.0,0.8333333333333333,0.41666666666666663,10,10,0,0
wedding,2,4.200000000000001,8.881784197001252e-16,1.8,0.0,1.4000000000000004,0.3,10,10,0,0
wedding,3,6.0,0.0,1.1999999999999997,2.220446049250313e-16,2.0,0.19999999999999996,10,10,0,0
