scenario_label,observed_action,relationship_condition,alt_idx,action_text,is_share
birthday,action_1,50,0,Lio eats a whole slice by himself,0
birthday,action_1,50,1,Mitchell eats a whole slice by himself,0
birthday,action_1,50,2,They leave the cake uneaten and walk away,0
birthday,action_1,50,3,Lio and Mitchell take turns eating from the same slice using the same fork,1
birthday,action_1,50,4,Lio cuts the slice into smaller pieces and they take turns picking up pieces with their fingers,1
birthday,action_1,50,5,"One person eats the slice and the other does not, but they discuss the taste and texture",0
birthday,action_1,50,6,They ask someone else to cut the slice into smaller portions for them to eat separately,0
birthday,action_1,50,7,"Lio and Mitchell decide to eat the cake, but they sit at opposite ends of the table to do so",0
birthday,action_1,50,8,They feed each other small bites of the cake,1
birthday,action_1,75,0,Lio eats an entire slice by himself,0
birthday,action_1,75,1,Mitchell eats an entire slice by herself,0
birthday,action_1,75,2,They leave the cake uneaten and don't touch it,0
birthday,action_1,75,3,Lio and Mitchell take turns eating from the same slice using the same fork,1
birthday,action_1,75,4,"Lio and Mitchell order a new, smaller cake to share",1
birthday,action_1,75,5,Lio cuts the slice into smaller portions and they take turns picking one up to eat,1
birthday,action_1,75,6,One person eats the slice and then describes it in detail to the other,0
birthday,action_1,75,7,They ask the birthday person to cut them each a smaller slice from a different part of the cake,0
birthday,action_1,75,8,Lio and Mitchell feed each other from the same slice using their fingers,1
birthday,action_1,100,0,Lio eats the whole slice by himself,0
birthday,action_1,100,1,Mitchell eats the whole slice by himself,0
birthday,action_1,100,2,They leave the slice uneaten on the table,0
birthday,action_1,100,3,They ask someone else to eat the slice,0
birthday,action_1,100,4,"Lio and Mitchell take turns eating the slice, using the same fork",1
birthday,action_1,100,5,They cut the slice into smaller pieces and feed each other,1
birthday,action_1,100,6,Lio eats most of the slice and then hands the remainder to Mitchell to finish,1
birthday,action_1,100,7,Mitchell eats most of the slice and then hands the remainder to Lio to finish,1
birthday,action_1,100,8,They put the slice in a container to take home and share later,1
birthday,action_1,100,9,"Lio and Mitchell eat the slice together, directly from the same plate, using their fingers",1
birthday,action_2,0,0,Lio eats a whole slice by himself,0
birthday,action_2,0,1,Mitchell eats a whole slice by himself,0
birthday,action_2,0,2,They each take a separate slice and eat alone,0
birthday,action_2,0,3,Lio and Mitchell ask for smaller slices to be cut,0
birthday,action_2,0,4,One person eats the slice and the other doesn't have any,0
birthday,action_2,0,5,They leave the cake uneaten and don't discuss it,0
birthday,action_2,0,6,"Lio and Mitchell take turns eating from the same slice, but not at the same time",1
birthday,action_2,0,7,They cut the slice in half and eat their halves from separate plates,1
birthday,action_2,0,8,Lio feeds Mitchell or Mitchell feeds Lio,1
birthday,action_2,50,0,Lio eats a whole slice by himself,0
birthday,action_2,50,1,Mitchell eats a whole slice by himself,0
birthday,action_2,50,2,They leave the cake uneaten and don't touch it,0
birthday,action_2,50,3,Lio and Mitchell each get their own slice and eat separately,0
birthday,action_2,50,4,"Lio cuts his slice in half and gives half to Mitchell, then they eat their halves separately",1
birthday,action_2,50,5,One person eats the slice and the other watches,0
birthday,action_2,50,6,They ask the birthday person to cut the slices into smaller portions,1
birthday,action_2,50,7,Lio and Mitchell take turns eating from the same fork,1
birthday,action_2,50,8,Lio cuts the slice into smaller pieces and they take turns picking up a piece,1
birthday,action_2,75,0,Lio eats a whole slice by himself,0
birthday,action_2,75,1,Mitchell eats a whole slice by himself,0
birthday,action_2,75,2,They ask for a smaller slice or a slice to be cut in half,0
birthday,action_2,75,3,Lio and Mitchell each get their own slice but eat at the same table,0
birthday,action_2,75,4,They decide not to eat the cake at all,0
birthday,action_2,75,5,Lio and Mitchell take turns eating from the same fork,1
birthday,action_2,75,6,They cut the slice into smaller pieces and make a tower or design on the plate together,1
birthday,action_2,75,7,Lio feeds Mitchell or Mitchell feeds Lio,1
birthday,action_2,75,8,They put the slice in the middle of the table and eat from it without using plates,1
birthday,action_2,100,0,Lio eats a whole slice by himself,0
birthday,action_2,100,1,Mitchell eats a whole slice by himself,0
birthday,action_2,100,2,They each get their own slice and eat separately,0
birthday,action_2,100,3,Lio and Mitchell cut their slice in half and exchange halves,1
birthday,action_2,100,4,One person eats the slice and the other doesn't have any,0
birthday,action_2,100,5,They leave the slice uneaten and don't touch it,0
birthday,action_2,100,6,Lio and Mitchell ask for a smaller slice to share,1
birthday,action_2,100,7,"They take turns eating the slice, passing the fork back and forth",1
birthday,action_2,100,8,Lio cuts the slice into smaller pieces and they eat from their own plates,1
birthday,action_3,0,0,Lio and Mitchell each take a separate slice and eat alone,0
birthday,action_3,0,1,"Lio eats a whole slice by themselves, Mitchell does the same with another slice",0
birthday,action_3,0,2,"One person eats the whole slice, the other person doesn't have any cake",0
birthday,action_3,0,3,They both decline to eat the cake,0
birthday,action_3,0,4,Lio and Mitchell ask for a second fork so they can each eat from the same slice but with their own utensils,1
birthday,action_3,0,5,Lio cuts the slice in half and they each eat their half with their own fork from separate plates,1
birthday,action_3,0,6,They ask the birthday person if they can get a smaller slice or a different serving size,0
birthday,action_3,0,7,"Lio and Mitchell take turns eating from the slice, but use a clean fork each time",1
birthday,action_3,0,8,One person cuts the slice into smaller pieces and they take turns picking up a piece with their fingers to eat,1
birthday,action_3,50,0,Lio eats a whole slice by himself,0
birthday,action_3,50,1,Mitchell eats a whole slice by himself,0
birthday,action_3,50,2,They ask for an extra fork so they can eat from the same plate but with separate utensils,1
birthday,action_3,50,3,Lio and Mitchell each get their own slice and eat separately,0
birthday,action_3,50,4,They leave the cake uneaten and don't participate in the dessert,0
birthday,action_3,50,5,Lio eats half of one slice and Mitchell eats half of another slice,0
birthday,action_3,50,6,One person eats the cake and the other person eats a different dessert,0
birthday,action_3,50,7,They ask the birthday person to cut the slices into smaller portions so they can each have a smaller piece,1
birthday,action_3,50,8,"Lio and Mitchell take turns eating from the slice, but use a clean fork each time",1
birthday,action_3,50,9,They decide to take the slice home and share it later in a private setting,1
birthday,action_3,75,0,Lio eats a whole slice by himself,0
birthday,action_3,75,1,Mitchell eats a whole slice by himself,0
birthday,action_3,75,2,They each get their own slice and eat separately,0
birthday,action_3,75,3,Lio and Mitchell cut their slices in half and swap halves to try both,1
birthday,action_3,75,4,One person eats the slice and the other doesn't have any,0
birthday,action_3,75,5,They leave the slices untouched and don't eat any cake,0
birthday,action_3,75,6,"Lio and Mitchell ask for an extra plate and fork, and cut the slice in half to eat from separate plates",1
birthday,action_3,75,7,They take turns eating small bites from their own separate slices,1
birthday,action_3,75,8,Lio and Mitchell decide to only eat the raspberry sauce and leave the cake untouched,1
birthday,action_3,100,0,Lio eats a whole slice by himself,0
birthday,action_3,100,1,Mitchell eats a whole slice by himself,0
birthday,action_3,100,2,They each get their own slice and eat separately,0
birthday,action_3,100,3,Lio and Mitchell cut their slices in half and swap halves to try both,1
birthday,action_3,100,4,One person eats the slice while the other watches,0
birthday,action_3,100,5,They leave the cake uneaten and walk away,0
birthday,action_3,100,6,Lio and Mitchell ask for an extra fork so they can eat from the same plate but with their own utensils,1
birthday,action_3,100,7,They request two smaller slices or a slice cut into smaller pieces to share,1
birthday,action_3,100,8,One person cuts their slice into smaller pieces and offers some to the other,1
brunch,action_0,0,0,Allison orders and eats the pancakes alone,0
brunch,action_0,0,1,Dana orders and eats the pancakes alone,0
brunch,action_0,0,2,They decide not to order the pancakes at all,0
brunch,action_0,0,3,They order the pancakes but eat them in separate areas of the restaurant,1
brunch,action_0,0,4,Allison eats from the stack and then Dana is not allowed to have any,0
brunch,action_0,0,5,Dana orders the pancakes and Allison is not informed about the order,0
brunch,action_0,0,6,They order two separate stacks of pancakes and eat their own,0
brunch,action_0,0,7,"They don't decide, and the waiter brings a complimentary stack of pancakes that they both eat",1
brunch,action_0,0,8,"Allison and Dana take turns eating from the stack, but do not sit close to each other",1
brunch,action_0,50,0,Allison orders the pancakes and eats them alone,0
brunch,action_0,50,1,"Dana orders the pancakes and eats them alone, without offering any to Allison",0
brunch,action_0,50,2,They decide not to order the pancakes at all,0
brunch,action_0,50,3,"They order the pancakes, but Allison eats the entire stack by herself",0
brunch,action_0,50,4,"They order two separate stacks of pancakes, one for each person",0
brunch,action_0,50,5,"They order the pancakes and take turns eating from the stack, but do not touch or make contact while doing so",1
brunch,action_0,50,6,"They order the pancakes, and when Dana gets full, Allison finishes the remaining portion at the table",1
brunch,action_0,50,7,"They ask the waiter to split the pancake order into two separate portions, one for each person, to eat at the table",1
brunch,action_0,50,8,"Allison orders the pancakes, eats a few, and then hands the rest to Dana to take home",1
brunch,action_0,75,0,Allison orders and eats the pancakes alone,0
brunch,action_0,75,1,Dana orders and eats the pancakes alone,0
brunch,action_0,75,2,They decide not to order the pancakes at all,0
brunch,action_0,75,3,They order the pancakes and Allison eats the entire stack,0
brunch,action_0,75,4,They order two separate stacks of pancakes to eat individually,0
brunch,action_0,75,5,Allison eats from the stack and then Dana eats the remaining portion,1
brunch,action_0,75,6,"They take turns eating from the stack, but do not finish it and leave the remainder at the restaurant",1
brunch,action_0,75,7,"They order the pancakes and eat them together, but immediately split the remaining portion to take home in separate boxes",1
brunch,action_0,75,8,"They decide to order the pancakes to go from the start, and take the entire stack home to eat together later",1
brunch,action_0,100,0,Allison orders and eats the pancakes alone,0
brunch,action_0,100,1,Dana orders and eats the pancakes alone,0
brunch,action_0,100,2,They decide not to order the pancakes at all,0
brunch,action_0,100,3,"They order the pancakes but eat them separately at the table, not interacting",0
brunch,action_0,100,4,Allison eats the pancakes and then describes the experience to Dana,0
brunch,action_0,100,5,They order two separate stacks of pancakes and compare which one is better,0
brunch,action_0,100,6,"They take turns eating the pancakes, but use separate utensils and plates",1
brunch,action_0,100,7,They feed each other bites of the pancakes,1
brunch,action_0,100,8,"They eat the pancakes together, but then Allison takes the remaining portion home",1
brunch,action_1,0,0,Allison orders and eats the pancakes alone,0
brunch,action_1,0,1,Dana orders and eats the pancakes alone,0
brunch,action_1,0,2,They decide not to order the pancakes at all,0
brunch,action_1,0,3,They order the pancakes and take turns eating directly from the shared plate,1
brunch,action_1,0,4,Allison cuts the pancakes and serves portions onto Dana's plate and her own,1
brunch,action_1,0,5,They ask the server to split the pancakes onto two separate plates,1
brunch,action_1,0,6,"One person eats the pancakes and the other does not, but they discuss the taste and texture",0
brunch,action_1,0,7,They order the pancakes to go and eat them separately at home,0
brunch,action_1,0,8,"They eat the pancakes with their fingers, taking turns picking up pieces from the shared plate",1
brunch,action_1,50,0,Allison orders the pancakes and eats them alone,0
brunch,action_1,50,1,Dana orders the pancakes and eats them alone,0
brunch,action_1,50,2,They decide not to order the pancakes,0
brunch,action_1,50,3,They order the pancakes and take turns eating directly from the shared plate,1
brunch,action_1,50,4,Allison cuts the pancakes and serves herself and Dana,1
brunch,action_1,50,5,Dana cuts the pancakes and serves herself and Allison,1
brunch,action_1,50,6,They use their own forks to pick up pancake pieces directly from the shared plate,1
brunch,action_1,50,7,They ask the waiter to divide the pancakes onto two separate plates,1
brunch,action_1,50,8,"One person eats the pancakes and the other does not, but they still order them to be sociable",0
brunch,action_1,75,0,Allison orders the pancakes and eats them alone,0
brunch,action_1,75,1,Dana orders the pancakes and eats them alone,0
brunch,action_1,75,2,They decide not to order the pancakes,0
brunch,action_1,75,3,They order the pancakes and eat directly from the shared plate,1
brunch,action_1,75,4,"Allison cuts the pancakes and serves Dana, then herself",1
brunch,action_1,75,5,"Dana cuts the pancakes and serves Allison, then himself",1
brunch,action_1,75,6,"They use their own utensils, which they were already using for their main dishes, to cut and eat the pancakes from the shared plate",1
brunch,action_1,75,7,They ask the server to split the pancakes onto two separate plates,1
brunch,action_1,100,0,Allison orders and eats the pancakes by herself,0
brunch,action_1,100,1,Dana orders and eats the pancakes by herself,0
brunch,action_1,100,2,They decide not to order the pancakes at all,0
brunch,action_1,100,3,They order the pancakes and eat directly from the shared plate,1
brunch,action_1,100,4,Allison cuts and serves the pancakes for both of them,1
brunch,action_1,100,5,Dana cuts and serves the pancakes for both of them,1
brunch,action_1,100,6,They ask the server to split the pancake order onto two separate plates,1
brunch,action_1,100,7,One person eats a few bites and then passes the remainder to the other,1
brunch,action_2,0,0,One person orders and eats the pancakes alone,0
brunch,action_2,0,1,They decide not to order the pancakes at all,0
brunch,action_2,0,2,"Allison orders the pancakes and Dana doesn't, but Dana asks for a bite",1
brunch,action_2,0,3,They order the pancakes and use a single serving utensil to transfer slices to their plates,1
brunch,action_2,0,4,Allison eats the pancakes directly from the shared stack with her fork,1
brunch,action_2,0,5,Dana orders a separate stack of pancakes for herself,0
brunch,action_2,0,6,They ask the server to divide the pancakes into two separate portions before serving,1
brunch,action_2,0,7,"One person orders the pancakes to-go, to eat later alone",0
brunch,action_2,0,8,"They eat the pancakes with their fingers, taking turns picking up slices from the shared stack",1
brunch,action_2,50,0,Allison orders the pancakes and eats them alone,0
brunch,action_2,50,1,Dana orders the pancakes and eats them alone,0
brunch,action_2,50,2,They decide not to order the pancakes at all,0
brunch,action_2,50,3,They order the pancakes and use a single serving utensil to take turns serving themselves,1
brunch,action_2,50,4,One person orders the pancakes and feeds the other,1
brunch,action_2,50,5,"They order multiple stacks of pancakes, one for each person",0
brunch,action_2,50,6,Allison and Dana take turns eating directly from the stack of pancakes,1
brunch,action_2,50,7,They ask the server to split the pancakes in the kitchen and bring out separate portions,1
brunch,action_2,50,8,One person eats the pancakes while the other watches but doesn't have any,0
brunch,action_2,75,0,Allison orders the pancakes and eats them alone,0
brunch,action_2,75,1,Dana orders the pancakes and eats them alone,0
brunch,action_2,75,2,Neither of them orders the pancakes,0
brunch,action_2,75,3,They order two separate stacks of pancakes,0
brunch,action_2,75,4,Allison cuts the entire stack into two halves and they each take a half,1
brunch,action_2,75,5,They use the same utensils to cut and serve the pancakes,1
