subject_id,scenario_label,action_condition,reward_condition,stage,intimacy_rating
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,takeout,action_0,high,prior,27
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,takeout,action_0,high,posterior,25
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,social,action_3,low,prior,32
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,social,action_3,low,posterior,100
5bfd5b4c-9020-5bc3-b120-269c6d69b138,driving,action_2,low,prior,50
5bfd5b4c-9020-5bc3-b120-269c6d69b138,driving,action_2,low,posterior,91
5bfd5b4c-9020-5bc3-b120-269c6d69b138,hike,action_2,high,prior,50
5bfd5b4c-9020-5bc3-b120-269c6d69b138,hike,action_2,high,posterior,63
5bfd5b4c-9020-5bc3-b120-269c6d69b138,soup,action_3,high,prior,50
5bfd5b4c-9020-5bc3-b120-269c6d69b138,soup,action_3,high,posterior,83
5bfd5b4c-9020-5bc3-b120-269c6d69b138,birthday,action_0,low,prior,50
5bfd5b4c-9020-5bc3-b120-269c6d69b138,birthday,action_0,low,posterior,50
5bfd5b4c-9020-5bc3-b120-269c6d69b138,dip,action_1,high,prior,69
5bfd5b4c-9020-5bc3-b120-269c6d69b138,dip,action_1,high,posterior,50
5bfd5b4c-9020-5bc3-b120-269c6d69b138,fair,action_2,low,prior,50
5bfd5b4c-9020-5bc3-b120-269c6d69b138,fair,action_2,low,posterior,53
5bfd5b4c-9020-5bc3-b120-269c6d69b138,drinks,action_1,high,prior,56
5bfd5b4c-9020-5bc3-b120-269c6d69b138,drinks,action_1,high,posterior,50
5bfd5b4c-9020-5bc3-b120-269c6d69b138,cooking,action_1,low,prior,59
5bfd5b4c-9020-5bc3-b120-269c6d69b138,cooking,action_1,low,posterior,50
5bfd5b4c-9020-5bc3-b120-269c6d69b138,brunch,action_0,high,prior,50
5bfd5b4c-9020-5bc3-b120-269c6d69b138,brunch,action_0,high,posterior,50
5bfd5b4c-9020-5bc3-b120-269c6d69b138,takeout,action_0,high,prior,28
5bfd5b4c-9020-5bc3-b120-269c6d69b138,takeout,action_0,high,posterior,24
5bfd5b4c-9020-5bc3-b120-269c6d69b138,wedding,action_3,high,prior,59
5bfd5b4c-9020-5bc3-b120-269c6d69b138,wedding,action_3,high,posterior,91
5bfd5b4c-9020-5bc3-b120-269c6d69b138,social,action_3,low,prior,42
5bfd5b4c-9020-5bc3-b120-269c6d69b138,social,action_3,low,posterior,100
5bfd5b4c-9020-5bc3-b120-269c6d69b138,apples,action_1,low,prior,57
5bfd5b4c-9020-5bc3-b120-269c6d69b138,apples,action_1,low,posterior,50
5bfd5b4c-9020-5bc3-b120-269c6d69b138,basketball,action_0,low,prior,68
5bfd5b4c-9020-5bc3-b120-269c6d69b138,basketball,action_0,low,posterior,62
5bfd5b4c-9020-5bc3-b120-269c6d69b138,gala,action_2,high,prior,50
5bfd5b4c-9020-5bc3-b120-269c6d69b138,gala,action_2,high,posterior,40
5bfd5b4c-9020-5bc3-b120-269c6d69b138,oysters,action_3,low,prior,50
5bfd5b4c-9020-5bc3-b120-269c6d69b138,oysters,action_3,low,posterior,50
f0288401-3117-5e57-9f0e-4bf876c5338b,social,action_3,low,prior,60
f0288401-3117-5e57-9f0e-4bf876c5338b,social,action_3,low,posterior,89
f0288401-3117-5e57-9f0e-4bf876c5338b,takeout,action_0,high,prior,59
f0288401-3117-5e57-9f0e-4bf876c5338b,takeout,action_0,high,posterior,40
f0288401-3117-5e57-9f0e-4bf876c5338b,drinks,action_1,high,prior,50
f0288401-3117-5e57-9f0e-4bf876c5338b,drinks,action_1,high,posterior,63
f0288401-3117-5e57-9f0e-4bf876c5338b,fair,action_2,low,prior,50
f0288401-3117-5e57-9f0e-4bf876c5338b,fair,action_2,low,posterior,75
f0288401-3117-5e57-9f0e-4bf876c5338b,hike,action_2,high,prior,49
f0288401-3117-5e57-9f0e-4bf876c5338b,hike,action_2,high,posterior,75
f0288401-3117-5e57-9f0e-4bf876c5338b,soup,action_3,high,prior,50
f0288401-3117-5e57-9f0e-4bf876c5338b,soup,action_3,high,posterior,84
f0288401-3117-5e57-9f0e-4bf876c5338b,driving,action_2,low,prior,60
f0288401-3117-5e57-9f0e-4bf876c5338b,driving,action_2,low,posterior,81
f0288401-3117-5e57-9f0e-4bf876c5338b,birthday,action_0,low,prior,47
f0288401-3117-5e57-9f0e-4bf876c5338b,birthday,action_0,low,posterior,37
f0288401-3117-5e57-9f0e-4bf876c5338b,cooking,action_1,low,prior,46
f0288401-3117-5e57-9f0e-4bf876c5338b,cooking,action_1,low,posterior,39
f0288401-3117-5e57-9f0e-4bf876c5338b,wedding,action_3,high,prior,38
f0288401-3117-5e57-9f0e-4bf876c5338b,wedding,action_3,high,posterior,70
f0288401-3117-5e57-9f0e-4bf876c5338b,apples,action_1,low,prior,49
f0288401-3117-5e57-9f0e-4bf876c5338b,apples,action_1,low,posterior,62
f0288401-3117-5e57-9f0e-4bf876c5338b,dip,action_1,high,prior,50
f0288401-3117-5e57-9f0e-4bf876c5338b,dip,action_1,high,posterior,57
f0288401-3117-5e57-9f0e-4bf876c5338b,oysters,action_3,low,prior,50
f0288401-3117-5e57-9f0e-4bf876c5338b,oysters,action_3,low,posterior,83
f0288401-3117-5e57-9f0e-4bf876c5338b,basketball,action_0,low,prior,49
f0288401-3117-5e57-9f0e-4bf876c5338b,basketball,action_0,low,posterior,41
f0288401-3117-5e57-9f0e-4bf876c5338b,brunch,action_0,high,prior,49
f0288401-3117-5e57-9f0e-4bf876c5338b,brunch,action_0,high,posterior,42
f0288401-3117-5e57-9f0e-4bf876c5338b,gala,action_2,high,prior,50
f0288401-3117-5e57-9f0e-4bf876c5338b,gala,action_2,high,posterior,57
d07a9dbd-b878-5861-9d2d-c46a595adab3,hike,action_2,high,prior,50
d07a9dbd-b878-5861-9d2d-c46a595adab3,hike,action_2,high,posterior,59
d07a9dbd-b878-5861-9d2d-c46a595adab3,drinks,action_1,high,prior,53
d07a9dbd-b878-5861-9d2d-c46a595adab3,drinks,action_1,high,posterior,51
d07a9dbd-b878-5861-9d2d-c46a595adab3,takeout,action_0,high,prior,46
d07a9dbd-b878-5861-9d2d-c46a595adab3,takeout,action_0,high,posterior,26
d07a9dbd-b878-5861-9d2d-c46a595adab3,dip,action_1,high,prior,52
d07a9dbd-b878-5861-9d2d-c46a595adab3,dip,action_1,high,posterior,52
d07a9dbd-b878-5861-9d2d-c46a595adab3,basketball,action_0,low,prior,51
d07a9dbd-b878-5861-9d2d-c46a595adab3,basketball,action_0,low,posterior,50
d07a9dbd-b878-5861-9d2d-c46a595adab3,driving,action_2,low,prior,52
d07a9dbd-b878-5861-9d2d-c46a595adab3,driving,action_2,low,posterior,60
d07a9dbd-b878-5861-9d2d-c46a595adab3,soup,action_3,high,prior,52
d07a9dbd-b878-5861-9d2d-c46a595adab3,soup,action_3,high,posterior,68
d07a9dbd-b878-5861-9d2d-c46a595adab3,birthday,action_0,low,prior,50
d07a9dbd-b878-5861-9d2d-c46a595adab3,birthday,action_0,low,posterior,50
d07a9dbd-b878-5861-9d2d-c46a595adab3,gala,action_2,high,prior,76
d07a9dbd-b878-5861-9d2d-c46a595adab3,gala,action_2,high,posterior,99
d07a9dbd-b878-5861-9d2d-c46a595adab3,oysters,action_3,low,prior,50
d07a9dbd-b878-5861-9d2d-c46a595adab3,oysters,action_3,low,posterior,52
d07a9dbd-b878-5861-9d2d-c46a595adab3,wedding,action_3,high,prior,59
d07a9dbd-b878-5861-9d2d-c46a595adab3,wedding,action_3,high,posterior,77
d07a9dbd-b878-5861-9d2d-c46a595adab3,cooking,action_1,low,prior,78
d07a9dbd-b878-5861-9d2d-c46a595adab3,cooking,action_1,low,posterior,64
d07a9dbd-b878-5861-9d2d-c46a595adab3,apples,action_1,low,prior,60
d07a9dbd-b878-5861-9d2d-c46a595adab3,apples,action_1,low,posterior,89
d07a9dbd-b878-5861-9d2d-c46a595adab3,brunch,action_0,high,prior,51
d07a9dbd-b878-5861-9d2d-c46a595adab3,brunch,action_0,high,posterior,50
d07a9dbd-b878-5861-9d2d-c46a595adab3,fair,action_2,low,prior,61
d07a9dbd-b878-5861-9d2d-c46a595adab3,fair,action_2,low,posterior,81
d07a9dbd-b878-5861-9d2d-c46a595adab3,social,action_3,low,prior,64
d07a9dbd-b878-5861-9d2d-c46a595adab3,social,action_3,low,posterior,100
6699970c-256c-55a3-988b-12d12ed202c0,driving,action_2,low,prior,58
6699970c-256c-55a3-988b-12d12ed202c0,driving,action_2,low,posterior,55
6699970c-256c-55a3-988b-12d12ed202c0,fair,action_2,low,prior,54
6699970c-256c-55a3-988b-12d12ed202c0,fair,action_2,low,posterior,65
6699970c-256c-55a3-988b-12d12ed202c0,social,action_3,low,prior,55
6699970c-256c-55a3-988b-12d12ed202c0,social,action_3,low,posterior,80
6699970c-256c-55a3-988b-12d12ed202c0,apples,action_1,low,prior,57
6699970c-256c-55a3-988b-12d12ed202c0,apples,action_1,low,posterior,64
6699970c-256c-55a3-988b-12d12ed202c0,soup,action_3,high,prior,57
6699970c-256c-55a3-988b-12d12ed202c0,soup,action_3,high,posterior,76
6699970c-256c-55a3-988b-12d12ed202c0,brunch,action_0,high,prior,57
6699970c-256c-55a3-988b-12d12ed202c0,brunch,action_0,high,posterior,55
6699970c-256c-55a3-988b-12d12ed202c0,birthday,action_0,low,prior,55
6699970c-256c-55a3-988b-12d12ed202c0,birthday,action_0,low,posterior,56
6699970c-256c-55a3-988b-12d12ed202c0,cooking,action_1,low,prior,63
6699970c-256c-55a3-988b-12d12ed202c0,cooking,action_1,low,posterior,60
6699970c-256c-55a3-988b-12d12ed202c0,basketball,action_0,low,prior,54
6699970c-256c-55a3-988b-12d12ed202c0,basketball,action_0,low,posterior,53
6699970c-256c-55a3-988b-12d12ed202c0,drinks,action_1,high,prior,52
6699970c-256c-55a3-988b-12d12ed202c0,drinks,action_1,high,posterior,51
6699970c-256c-55a3-988b-12d12ed202c0,hike,action_2,high,prior,55
6699970c-256c-55a3-988b-12d12ed202c0,hike,action_2,high,posterior,70
6699970c-256c-55a3-988b-12d12ed202c0,gala,action_2,high,prior,47
6699970c-256c-55a3-988b-12d12ed202c0,gala,action_2,high,posterior,54
6699970c-256c-55a3-988b-12d12ed202c0,takeout,action_0,high,prior,41
6699970c-256c-55a3-988b-12d12ed202c0,takeout,action_0,high,posterior,45
6699970c-256c-55a3-988b-12d12ed202c0,wedding,action_3,high,prior,52
6699970c-256c-55a3-988b-12d12ed202c0,wedding,action_3,high,posterior,86
6699970c-256c-55a3-988b-12d12ed202c0,dip,action_1,high,prior,64
6699970c-256c-55a3-988b-12d12ed202c0,dip,action_1,high,posterior,68
6699970c-256c-55a3-988b-12d12ed202c0,oysters,action_3,low,prior,58
6699970c-256c-55a3-988b-12d12ed202c0,oysters,action_3,low,posterior,80
091c15e4-219f-5ac6-b0f5-6c72a070fb69,birthday,action_0,low,prior,0
091c15e4-219f-5ac6-b0f5-6c72a070fb69,birthday,action_0,low,posterior,0
091c15e4-219f-5ac6-b0f5-6c72a070fb69,cooking,action_1,low,prior,92
091c15e4-219f-5ac6-b0f5-6c72a070fb69,cooking,action_1,low,posterior,97
091c15e4-219f-5ac6-b0f5-6c72a070fb69,fair,action_2,low,prior,0
091c15e4-219f-5ac6-b0f5-6c72a070fb69,fair,action_2,low,posterior,3
091c15e4-219f-5ac6-b0f5-6c72a070fb69,apples,action_1,low,prior,83
091c15e4-219f-5ac6-b0f5-6c72a070fb69,apples,action_1,low,posterior,93
091c15e4-219f-5ac6-b0f5-6c72a070fb69,dip,action_1,high,prior,26
091c15e4-219f-5ac6-b0f5-6c72a070fb69,dip,action_1,high,posterior,12
091c15e4-219f-5ac6-b0f5-6c72a070fb69,takeout,action_0,high,prior,41
091c15e4-219f-5ac6-b0f5-6c72a070fb69,takeout,action_0,high,posterior,34
091c15e4-219f-5ac6-b0f5-6c72a070fb69,soup,action_3,high,prior,60
091c15e4-219f-5ac6-b0f5-6c72a070fb69,soup,action_3,high,posterior,64
091c15e4-219f-5ac6-b0f5-6c72a070fb69,hike,action_2,high,prior,15
091c15e4-219f-5ac6-b0f5-6c72a070fb69,hike,action_2,high,posterior,9
091c15e4-219f-5ac6-b0f5-6c72a070fb69,gala,action_2,high,prior,40
091c15e4-219f-5ac6-b0f5-6c72a070fb69,gala,action_2,high,posterior,33
091c15e4-219f-5ac6-b0f5-6c72a070fb69,wedding,action_3,high,prior,44
091c15e4-219f-5ac6-b0f5-6c72a070fb69,wedding,action_3,high,posterior,37
091c15e4-219f-5ac6-b0f5-6c72a070fb69,oysters,action_3,low,prior,55
091c15e4-219f-5ac6-b0f5-6c72a070fb69,oysters,action_3,low,posterior,58
091c15e4-219f-5ac6-b0f5-6c72a070fb69,driving,action_2,low,prior,56
091c15e4-219f-5ac6-b0f5-6c72a070fb69,driving,action_2,low,posterior,64
091c15e4-219f-5ac6-b0f5-6c72a070fb69,brunch,action_0,high,prior,47
091c15e4-219f-5ac6-b0f5-6c72a070fb69,brunch,action_0,high,posterior,55
091c15e4-219f-5ac6-b0f5-6c72a070fb69,drinks,action_1,high,prior,66
091c15e4-219f-5ac6-b0f5-6c72a070fb69,drinks,action_1,high,posterior,71
091c15e4-219f-5ac6-b0f5-6c72a070fb69,social,action_3,low,prior,59
091c15e4-219f-5ac6-b0f5-6c72a070fb69,social,action_3,low,posterior,65
091c15e4-219f-5ac6-b0f5-6c72a070fb69,basketball,action_0,low,prior,74
091c15e4-219f-5ac6-b0f5-6c72a070fb69,basketball,action_0,low,posterior,85
634d47e3-6706-51c5-905d-4e66024e8333,gala,action_2,high,prior,80
634d47e3-6706-51c5-905d-4e66024e8333,gala,action_2,high,posterior,84
634d47e3-6706-51c5-905d-4e66024e8333,dip,action_1,high,prior,96
634d47e3-6706-51c5-905d-4e66024e8333,dip,action_1,high,posterior,74
634d47e3-6706-51c5-905d-4e66024e8333,takeout,action_0,high,prior,84
634d47e3-6706-51c5-905d-4e66024e8333,takeout,action_0,high,posterior,45
634d47e3-6706-51c5-905d-4e66024e8333,brunch,action_0,high,prior,82
634d47e3-6706-51c5-905d-4e66024e8333,brunch,action_0,high,posterior,52
634d47e3-6706-51c5-905d-4e66024e8333,cooking,action_1,low,prior,85
634d47e3-6706-51c5-905d-4e66024e8333,cooking,action_1,low,posterior,58
634d47e3-6706-51c5-905d-4e66024e8333,soup,action_3,high,prior,84
634d47e3-6706-51c5-905d-4e66024e8333,soup,action_3,high,posterior,97
634d47e3-6706-51c5-905d-4e66024e8333,wedding,action_3,high,prior,58
634d47e3-6706-51c5-905d-4e66024e8333,wedding,action_3,high,posterior,84
634d47e3-6706-51c5-905d-4e66024e8333,birthday,action_0,low,prior,93
634d47e3-6706-51c5-905d-4e66024e8333,birthday,action_0,low,posterior,36
634d47e3-6706-51c5-905d-4e66024e8333,apples,action_1,low,prior,96
634d47e3-6706-51c5-905d-4e66024e8333,apples,action_1,low,posterior,74
634d47e3-6706-51c5-905d-4e66024e8333,driving,action_2,low,prior,99
634d47e3-6706-51c5-905d-4e66024e8333,driving,action_2,low,posterior,91
634d47e3-6706-51c5-905d-4e66024e8333,oysters,action_3,low,prior,98
634d47e3-6706-51c5-905d-4e66024e8333,oysters,action_3,low,posterior,98
634d47e3-6706-51c5-905d-4e66024e8333,basketball,action_0,low,prior,89
634d47e3-6706-51c5-905d-4e66024e8333,basketball,action_0,low,posterior,87
634d47e3-6706-51c5-905d-4e66024e8333,hike,action_2,high,prior,98
634d47e3-6706-51c5-905d-4e66024e8333,hike,action_2,high,posterior,86
634d47e3-6706-51c5-905d-4e66024e8333,social,action_3,low,prior,99
634d47e3-6706-51c5-905d-4e66024e8333,social,action_3,low,posterior,97
634d47e3-6706-51c5-905d-4e66024e8333,fair,action_2,low,prior,98
634d47e3-6706-51c5-905d-4e66024e8333,fair,action_2,low,posterior,92
634d47e3-6706-51c5-905d-4e66024e8333,drinks,action_1,high,prior,99
634d47e3-6706-51c5-905d-4e66024e8333,drinks,action_1,high,posterior,84
6f85d2af-bdff-5638-8058-91267169a255,birthday,action_0,low,prior,75
6f85d2af-bdff-5638-8058-91267169a255,birthday,action_0,low,posterior,54
6f85d2af-bdff-5638-8058-91267169a255,social,action_3,low,prior,21
6f85d2af-bdff-5638-8058-91267169a255,social,action_3,low,posterior,100
6f85d2af-bdff-5638-8058-91267169a255,cooking,action_1,low,prior,92
6f85d2af-bdff-5638-8058-91267169a255,cooking,action_1,low,posterior,97
6f85d2af-bdff-5638-8058-91267169a255,brunch,action_0,high,prior,60
6f85d2af-bdff-5638-8058-91267169a255,brunch,action_0,high,posterior,52
6f85d2af-bdff-5638-8058-91267169a255,wedding,action_3,high,prior,75
6f85d2af-bdff-5638-8058-91267169a255,wedding,action_3,high,posterior,99
6f85d2af-bdff-5638-8058-91267169a255,drinks,action_1,high,prior,44
6f85d2af-bdff-5638-8058-91267169a255,drinks,action_1,high,posterior,75
6f85d2af-bdff-5638-8058-91267169a255,hike,action_2,high,prior,73
6f85d2af-bdff-5638-8058-91267169a255,hike,action_2,high,posterior,98
6f85d2af-bdff-5638-8058-91267169a255,gala,action_2,high,prior,13
6f85d2af-bdff-5638-8058-91267169a255,gala,action_2,high,posterior,47
6f85d2af-bdff-5638-8058-91267169a255,basketball,action_0,low,prior,84
6f85d2af-bdff-5638-8058-91267169a255,basketball,action_0,low,posterior,69
6f85d2af-bdff-5638-8058-91267169a255,oysters,action_3,low,prior,63
6f85d2af-bdff-5638-8058-91267169a255,oysters,action_3,low,posterior,100
6f85d2af-bdff-5638-8058-91267169a255,dip,action_1,high,prior,97
6f85d2af-bdff-5638-8058-91267169a255,dip,action_1,high,posterior,95
6f85d2af-bdff-5638-8058-91267169a255,apples,action_1,low,prior,94
6f85d2af-bdff-5638-8058-91267169a255,apples,action_1,low,posterior,94
6f85d2af-bdff-5638-8058-91267169a255,takeout,action_0,high,prior,9
6f85d2af-bdff-5638-8058-91267169a255,takeout,action_0,high,posterior,3
6f85d2af-bdff-5638-8058-91267169a255,soup,action_3,high,prior,86
6f85d2af-bdff-5638-8058-91267169a255,soup,action_3,high,posterior,100
6f85d2af-bdff-5638-8058-91267169a255,fair,action_2,low,prior,90
6f85d2af-bdff-5638-8058-91267169a255,fair,action_2,low,posterior,100
6f85d2af-bdff-5638-8058-91267169a255,driving,action_2,low,prior,67
6f85d2af-bdff-5638-8058-91267169a255,driving,action_2,low,posterior,93
f3fd02f8-82ea-521f-8c74-6e73095759b6,apples,action_1,low,prior,80
f3fd02f8-82ea-521f-8c74-6e73095759b6,apples,action_1,low,posterior,85
f3fd02f8-82ea-521f-8c74-6e73095759b6,birthday,action_0,low,prior,88
f3fd02f8-82ea-521f-8c74-6e73095759b6,birthday,action_0,low,posterior,54
f3fd02f8-82ea-521f-8c74-6e73095759b6,cooking,action_1,low,prior,88
f3fd02f8-82ea-521f-8c74-6e73095759b6,cooking,action_1,low,posterior,100
f3fd02f8-82ea-521f-8c74-6e73095759b6,hike,action_2,high,prior,74
f3fd02f8-82ea-521f-8c74-6e73095759b6,hike,action_2,high,posterior,100
f3fd02f8-82ea-521f-8c74-6e73095759b6,basketball,action_0,low,prior,82
f3fd02f8-82ea-521f-8c74-6e73095759b6,basketball,action_0,low,posterior,73
f3fd02f8-82ea-521f-8c74-6e73095759b6,drinks,action_1,high,prior,58
f3fd02f8-82ea-521f-8c74-6e73095759b6,drinks,action_1,high,posterior,74
f3fd02f8-82ea-521f-8c74-6e73095759b6,brunch,action_0,high,prior,65
f3fd02f8-82ea-521f-8c74-6e73095759b6,brunch,action_0,high,posterior,23
f3fd02f8-82ea-521f-8c74-6e73095759b6,fair,action_2,low,prior,72
f3fd02f8-82ea-521f-8c74-6e73095759b6,fair,action_2,low,posterior,100
f3fd02f8-82ea-521f-8c74-6e73095759b6,driving,action_2,low,prior,84
f3fd02f8-82ea-521f-8c74-6e73095759b6,driving,action_2,low,posterior,100
f3fd02f8-82ea-521f-8c74-6e73095759b6,gala,action_2,high,prior,50
f3fd02f8-82ea-521f-8c74-6e73095759b6,gala,action_2,high,posterior,75
f3fd02f8-82ea-521f-8c74-6e73095759b6,social,action_3,low,prior,68
f3fd02f8-82ea-521f-8c74-6e73095759b6,social,action_3,low,posterior,100
f3fd02f8-82ea-521f-8c74-6e73095759b6,dip,action_1,high,prior,89
f3fd02f8-82ea-521f-8c74-6e73095759b6,dip,action_1,high,posterior,88
f3fd02f8-82ea-521f-8c74-6e73095759b6,wedding,action_3,high,prior,76
f3fd02f8-82ea-521f-8c74-6e73095759b6,wedding,action_3,high,posterior,100
f3fd02f8-82ea-521f-8c74-6e73095759b6,soup,action_3,high,prior,69
f3fd02f8-82ea-521f-8c74-6e73095759b6,soup,action_3,high,posterior,100
f3fd02f8-82ea-521f-8c74-6e73095759b6,oysters,action_3,low,prior,59
f3fd02f8-82ea-521f-8c74-6e73095759b6,oysters,action_3,low,posterior,100
f3fd02f8-82ea-521f-8c74-6e73095759b6,takeout,action_0,high,prior,0
f3fd02f8-82ea-521f-8c74-6e73095759b6,takeout,action_0,high,posterior,0
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,brunch,action_0,high,prior,18
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,brunch,action_0,high,posterior,16
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,birthday,action_0,low,prior,45
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,birthday,action_0,low,posterior,0
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,soup,action_3,high,prior,45
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,soup,action_3,high,posterior,75
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,driving,action_2,low,prior,20
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,driving,action_2,low,posterior,85
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,dip,action_1,high,prior,37
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,dip,action_1,high,posterior,0
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,basketball,action_0,low,prior,69
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,basketball,action_0,low,posterior,53
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,social,action_3,low,prior,38
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,social,action_3,low,posterior,79
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,drinks,action_1,high,prior,47
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,drinks,action_1,high,posterior,33
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,oysters,action_3,low,prior,21
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,oysters,action_3,low,posterior,14
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,takeout,action_0,high,prior,8
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,takeout,action_0,high,posterior,0
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,wedding,action_3,high,prior,67
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,wedding,action_3,high,posterior,62
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,apples,action_1,low,prior,52
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,apples,action_1,low,posterior,38
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,gala,action_2,high,prior,30
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,gala,action_2,high,posterior,12
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,fair,action_2,low,prior,37
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,fair,action_2,low,posterior,6
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,cooking,action_1,low,prior,16
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,cooking,action_1,low,posterior,2
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,hike,action_2,high,prior,4
f9bde5f7-934b-5e73-b442-a20d7b0fd6e0,hike,action_2,high,posterior,2
63728efe-8114-51f1-beeb-b4005b4381a1,oysters,action_3,low,prior,38
63728efe-8114-51f1-beeb-b4005b4381a1,oysters,action_3,low,posterior,65
63728efe-8114-51f1-beeb-b4005b4381a1,apples,action_1,low,prior,59
63728efe-8114-51f1-beeb-b4005b4381a1,apples,action_1,low,posterior,53
63728efe-8114-51f1-beeb-b4005b4381a1,soup,action_3,high,prior,59
63728efe-8114-51f1-beeb-b4005b4381a1,soup,action_3,high,posterior,80
63728efe-8114-51f1-beeb-b4005b4381a1,cooking,action_1,low,prior,57
63728efe-8114-51f1-beeb-b4005b4381a1,cooking,action_1,low,posterior,69
63728efe-8114-51f1-beeb-b4005b4381a1,birthday,action_0,low,prior,37
63728efe-8114-51f1-beeb-b4005b4381a1,birthday,action_0,low,posterior,29
63728efe-8114-51f1-beeb-b4005b4381a1,drinks,action_1,high,prior,65
63728efe-8114-51f1-beeb-b4005b4381a1,drinks,action_1,high,posterior,36
63728efe-8114-51f1-beeb-b4005b4381a1,basketball,action_0,low,prior,40
63728efe-8114-51f1-beeb-b4005b4381a1,basketball,action_0,low,posterior,21
63728efe-8114-51f1-beeb-b4005b4381a1,social,action_3,low,prior,31
63728efe-8114-51f1-beeb-b4005b4381a1,social,action_3,low,posterior,66
